family,family_templates,support_band,element,observed_by_model,reported_count,missing_count,positive_count,positive_fraction,all_minimum,all_p05,all_p25,all_median,all_p75,all_p95,all_maximum,positive_minimum,positive_p05,positive_p25,positive_median,positive_p75,positive_p95,positive_maximum
fe_alloy,298,supported,Fe,True,298,0,298,1.0,25.584,47.113350000000004,58.21125,66.707,71.68325,83.02646499999999,99.03,25.584,47.113350000000004,58.21125,66.707,71.68325,83.02646499999999,99.03
fe_alloy,298,supported,Cr,True,293,5,287,0.9630872483221476,0.0,4.0,16.915,18.0,20.03,27.044999999999995,60.0,2.0,13.188,17.2,18.1,20.12,27.209999999999997,60.0
fe_alloy,298,supported,Ni,True,292,6,241,0.8087248322147651,0.0,0.0,1.1675,10.0,15.817499999999999,25.031499999999994,33.0,0.07,0.33,6.0,13.2,19.95,25.58,33.0
fe_alloy,298,supported,Mo,True,292,6,218,0.7315436241610739,0.0,0.0,0.0,1.045,2.9975,5.9915,59.0,0.006,0.019400000000000008,1.01,2.17,3.3525,6.153499999999994,59.0
fe_alloy,298,supported,W,True,296,2,24,0.08053691275167785,0.0,0.0,0.0,0.0,0.0,0.03,18.5,0.01,0.010150000000000001,0.02,1.29,3.17,11.838999999999992,18.5
fe_alloy,298,supported,N,False,160,138,156,0.5234899328859061,0.0,0.0,0.0,0.0015,0.119,0.33815,0.69,0.0009,0.00165,0.03,0.1,0.23275,0.3945,0.69
fe_alloy,298,supported,Nb,True,290,8,24,0.08053691275167785,0.0,0.0,0.0,0.0,0.0,0.3,2.5,0.09,0.1,0.1175,0.34,0.6125,2.0479999999999983,2.5
fe_alloy,298,supported,C,False,210,88,209,0.7013422818791947,0.0,0.0,0.0,0.012,0.03,0.060599999999999904,0.108,0.0012,0.0027600000000000003,0.01,0.02,0.036,0.07,0.108
fe_alloy,298,supported,Si,False,172,126,171,0.5738255033557047,0.0,0.0,0.0,0.13,0.48,1.36,5.0,0.002,0.037,0.23,0.44,0.55,2.045,5.0
fe_alloy,298,supported,Mn,False,153,145,150,0.5033557046979866,0.0,0.0,0.0,0.006,1.72,13.329499999999971,22.46,0.002,0.05470000000000001,0.7,1.72,4.31,18.173,22.46
fe_alloy,298,supported,Cu,False,51,247,48,0.1610738255033557,0.0,0.0,0.0,0.0,0.0,0.43599999999999456,4.0,0.036,0.037,0.16,0.215,0.75,3.0,4.0
fe_alloy,298,supported,P,False,98,200,98,0.3288590604026846,0.0,0.0,0.0,0.0,0.009,0.03,0.045,0.001,0.002700000000000001,0.009,0.010499999999999999,0.0255,0.04074999999999996,0.045
fe_alloy,298,supported,S,False,104,194,104,0.348993288590604,0.0,0.0,0.0,0.0,0.004,0.019149999999999976,0.35,0.001,0.00203,0.004,0.01,0.01625,0.03339999999999998,0.35
fe_alloy,298,supported,Al,True,259,39,16,0.053691275167785234,0.0,0.0,0.0,0.0,0.0,0.015249999999999203,28.0,0.01,0.03625,0.07675,28.0,28.0,28.0,28.0
fe_alloy,298,supported,V,True,298,0,5,0.016778523489932886,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.69,0.752,1.0,2.25,4.75,6.07,6.4
fe_alloy,298,supported,Ta,True,298,0,4,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3,0.405,0.825,1.535,2.1774999999999998,2.4354999999999998,2.5
fe_alloy,298,supported,Re,True,298,0,2,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.99,1.0655000000000001,1.3675,1.745,2.1225,2.4245,2.5
fe_alloy,298,supported,Ce,True,298,0,3,0.010067114093959731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2303,0.35150000000000003,0.503,0.7515000000000001,0.9502999999999999,1.0
fe_alloy,298,supported,Ti,True,297,1,7,0.02348993288590604,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.12,0.14100000000000001,0.25,0.47,1.33,1.8409999999999997,1.88
fe_alloy,298,supported,Co,True,298,0,1,0.003355704697986577,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
fe_alloy,298,supported,B,True,298,0,2,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
fe_alloy,298,supported,Mg,True,298,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
fe_alloy,298,supported,Y,True,298,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
fe_alloy,298,supported,Gd,True,294,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Fe,True,56,0,8,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,9.78,0.0007,0.001155,0.1205,0.325,5.7475000000000005,9.1535,9.78
al_alloy,56,supported,Cr,True,56,0,15,0.26785714285714285,0.0,0.0,0.0,0.0,0.004,41.1125,54.15,0.002,0.007600000000000001,6.960000000000001,17.64,32.93,51.50399999999999,54.15
al_alloy,56,supported,Ni,True,52,4,2,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,15.76,11.1,11.333,12.265,13.43,14.594999999999999,15.527,15.76
al_alloy,56,supported,Mo,True,52,4,18,0.32142857142857145,0.0,0.0,0.0,0.0,13.625,47.39,59.23,7.41,9.008,16.0475,26.215,40.5925,57.699999999999996,59.23
al_alloy,56,supported,W,True,52,4,1,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,27.21,27.21,27.21,27.21,27.21,27.21,27.21,27.21
al_alloy,56,supported,N,False,0,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Nb,True,52,4,4,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,20.955,64.96,15.34,18.709,32.184999999999995,46.275,57.302499999999995,63.42849999999999,64.96
al_alloy,56,supported,C,False,0,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Si,False,5,51,5,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0165,0.08,0.0016,0.00168,0.002,0.06,0.08,0.08,0.08
al_alloy,56,supported,Mn,False,4,52,4,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.008,1.3,0.004,0.0064,0.016,0.325,0.7975,1.1994999999999998,1.3
al_alloy,56,supported,Cu,False,11,45,11,0.19642857142857142,0.0,0.0,0.0,0.0,0.0,3.25,5.0,0.0039,0.0049499999999999995,0.07,1.0,3.5,4.77,5.0
al_alloy,56,supported,P,False,0,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,S,False,0,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Al,True,56,0,56,1.0,35.04,43.980000000000004,63.1075,76.495,91.24000000000001,99.5,100.0,35.04,43.980000000000004,63.1075,76.495,91.24000000000001,99.5,100.0
al_alloy,56,supported,V,True,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Ta,True,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Re,True,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Ce,True,56,0,4,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,14.0175,27.35,12.89,13.5665,16.2725,20.375,24.35,26.75,27.35
al_alloy,56,supported,Ti,True,56,0,1,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
al_alloy,56,supported,Co,True,56,0,4,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,6.5625,14.81,4.93,5.9095,9.8275,12.055,13.190000000000001,14.485999999999999,14.81
al_alloy,56,supported,B,True,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
al_alloy,56,supported,Mg,True,56,0,2,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.51,1.556,1.74,1.9700000000000002,2.2,2.384,2.43
al_alloy,56,supported,Y,True,56,0,1,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8
al_alloy,56,supported,Gd,True,56,0,4,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,9.375,31.48,5.0,7.625,18.125,23.994999999999997,26.987499999999997,30.5815,31.48
hea,19,limited,Fe,True,19,0,18,0.9473684210526315,0.0,7.2,19.380000000000003,22.9,24.79,36.815,38.03,8.0,16.3895,20.1025,22.95,24.895,36.8825,38.03
hea,19,limited,Cr,True,19,0,17,0.8947368421052632,0.0,0.0,16.799999999999997,21.0,22.895,25.012,25.12,16.25,16.434,18.4,21.3,23.0,25.024,25.12
hea,19,limited,Ni,True,19,0,17,0.8947368421052632,0.0,0.0,16.06,24.0,25.96,38.11299999999999,40.84,4.0,11.088,21.78,24.6,26.0,38.416,40.84
hea,19,limited,Mo,True,19,0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.7639999999999837,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64
hea,19,limited,W,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hea,19,limited,N,False,2,17,2,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0009199999999999996,0.0011,0.0009,0.00091,0.00095,0.001,0.0010500000000000002,0.00109,0.0011
hea,19,limited,Nb,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hea,19,limited,C,False,3,16,3,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.01784999999999997,0.03,0.016,0.016050000000000002,0.01625,0.0165,0.02325,0.02865,0.03
hea,19,limited,Si,False,9,10,3,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,14.199999999999996,16.0,8.99,9.491,11.495000000000001,14.0,15.0,15.8,16.0
hea,19,limited,Mn,False,4,15,2,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,24.189,24.99,24.1,24.1445,24.3225,24.545,24.7675,24.9455,24.99
hea,19,limited,Cu,False,5,14,4,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,21.990999999999996,24.7,10.17,10.668,12.66,17.59,22.442500000000003,24.2485,24.7
hea,19,limited,P,False,1,18,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0005999999999999873,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
hea,19,limited,S,False,3,16,3,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0011999999999999958,0.003,0.001,0.001,0.001,0.001,0.002,0.0028,0.003
hea,19,limited,Al,True,19,0,10,0.5263157894736842,0.0,0.0,0.0,3.5,8.815000000000001,15.39999999999997,28.0,3.5,3.5225,6.125,8.815000000000001,12.375,21.699999999999985,28.0
hea,19,limited,V,True,19,0,2,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,12.39999999999997,25.0,11.0,11.7,14.5,18.0,21.5,24.3,25.0
hea,19,limited,Ta,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hea,19,limited,Re,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hea,19,limited,Ce,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hea,19,limited,Ti,True,19,0,3,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,25.599999999999945,49.0,8.0,9.5,15.5,23.0,36.0,46.4,49.0
hea,19,limited,Co,True,19,0,14,0.7368421052631579,0.0,0.0,9.43,22.9,24.4,26.0,26.0,18.86,18.944499999999998,21.85,24.0,24.849999999999998,26.0,26.0
hea,19,limited,B,True,19,0,1,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.5999999999999872,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
hea,19,limited,Mg,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hea,19,limited,Y,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hea,19,limited,Gd,True,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Fe,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Cr,True,17,0,17,1.0,9.52,10.328,13.98,19.04,26.52,29.819999999999997,32.02,9.52,10.328,13.98,19.04,26.52,29.819999999999997,32.02
nicrmo_alloy,17,limited,Ni,True,17,0,17,1.0,54.35,55.734,62.82,66.67,74.36,76.002,81.45,54.35,55.734,62.82,66.67,74.36,76.002,81.45
nicrmo_alloy,17,limited,Mo,True,17,0,17,1.0,4.92,5.112,6.87,11.8,15.03,21.451999999999998,22.98,4.92,5.112,6.87,11.8,15.03,21.451999999999998,22.98
nicrmo_alloy,17,limited,W,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,N,False,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Nb,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,C,False,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Si,False,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Mn,False,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Cu,False,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,P,False,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,S,False,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Al,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,V,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Ta,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Re,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Ce,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Ti,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Co,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,B,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Mg,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
nicrmo_alloy,17,limited,Y,True,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
