checkpoint_name,checkpoint_step,model,model_kind,model_source,n_success,n_tasks,n_errors,mean_test_mae,median_test_mae,weighted_mean_test_mae,wins_test_mae,mean_delta_test_mae_vs_pretrained_tabicl_v2,mean_test_rmse,median_test_rmse,weighted_mean_test_rmse,wins_test_rmse,mean_delta_test_rmse_vs_pretrained_tabicl_v2,mean_test_r2,median_test_r2,weighted_mean_test_r2,wins_test_r2,mean_delta_test_r2_vs_pretrained_tabicl_v2,mean_test_spearman,median_test_spearman,weighted_mean_test_spearman,wins_test_spearman,mean_delta_test_spearman_vs_pretrained_tabicl_v2,mean_test_pearson,median_test_pearson,weighted_mean_test_pearson,wins_test_pearson,mean_delta_test_pearson_vs_pretrained_tabicl_v2,mean_test_nmae_iqr,median_test_nmae_iqr,weighted_mean_test_nmae_iqr,wins_test_nmae_iqr,mean_delta_test_nmae_iqr_vs_pretrained_tabicl_v2,mean_test_nrmse_iqr,median_test_nrmse_iqr,weighted_mean_test_nrmse_iqr,wins_test_nrmse_iqr,mean_delta_test_nrmse_iqr_vs_pretrained_tabicl_v2,mean_test_pinball_loss,median_test_pinball_loss,weighted_mean_test_pinball_loss,wins_test_pinball_loss,mean_delta_test_pinball_loss_vs_pretrained_tabicl_v2,mean_test_npinball_iqr,median_test_npinball_iqr,weighted_mean_test_npinball_iqr,wins_test_npinball_iqr,mean_delta_test_npinball_iqr_vs_pretrained_tabicl_v2,mean_test_quantile_calibration_mae,median_test_quantile_calibration_mae,weighted_mean_test_quantile_calibration_mae,wins_test_quantile_calibration_mae,mean_delta_test_quantile_calibration_mae_vs_pretrained_tabicl_v2,mean_test_quantile_calibration_max_error,median_test_quantile_calibration_max_error,weighted_mean_test_quantile_calibration_max_error,wins_test_quantile_calibration_max_error,mean_delta_test_quantile_calibration_max_error_vs_pretrained_tabicl_v2,mean_test_interval_50_coverage_error,median_test_interval_50_coverage_error,weighted_mean_test_interval_50_coverage_error,wins_test_interval_50_coverage_error,mean_delta_test_interval_50_coverage_error_vs_pretrained_tabicl_v2,mean_test_interval_50_nwidth_iqr,median_test_interval_50_nwidth_iqr,weighted_mean_test_interval_50_nwidth_iqr,wins_test_interval_50_nwidth_iqr,mean_delta_test_interval_50_nwidth_iqr_vs_pretrained_tabicl_v2,mean_test_interval_50_nwinkler_iqr,median_test_interval_50_nwinkler_iqr,weighted_mean_test_interval_50_nwinkler_iqr,wins_test_interval_50_nwinkler_iqr,mean_delta_test_interval_50_nwinkler_iqr_vs_pretrained_tabicl_v2,mean_test_interval_80_coverage_error,median_test_interval_80_coverage_error,weighted_mean_test_interval_80_coverage_error,wins_test_interval_80_coverage_error,mean_delta_test_interval_80_coverage_error_vs_pretrained_tabicl_v2,mean_test_interval_80_nwidth_iqr,median_test_interval_80_nwidth_iqr,weighted_mean_test_interval_80_nwidth_iqr,wins_test_interval_80_nwidth_iqr,mean_delta_test_interval_80_nwidth_iqr_vs_pretrained_tabicl_v2,mean_test_interval_80_nwinkler_iqr,median_test_interval_80_nwinkler_iqr,weighted_mean_test_interval_80_nwinkler_iqr,wins_test_interval_80_nwinkler_iqr,mean_delta_test_interval_80_nwinkler_iqr_vs_pretrained_tabicl_v2,mean_test_interval_90_coverage_error,median_test_interval_90_coverage_error,weighted_mean_test_interval_90_coverage_error,wins_test_interval_90_coverage_error,mean_delta_test_interval_90_coverage_error_vs_pretrained_tabicl_v2,mean_test_interval_90_nwidth_iqr,median_test_interval_90_nwidth_iqr,weighted_mean_test_interval_90_nwidth_iqr,wins_test_interval_90_nwidth_iqr,mean_delta_test_interval_90_nwidth_iqr_vs_pretrained_tabicl_v2,mean_test_interval_90_nwinkler_iqr,median_test_interval_90_nwinkler_iqr,weighted_mean_test_interval_90_nwinkler_iqr,wins_test_interval_90_nwinkler_iqr,mean_delta_test_interval_90_nwinkler_iqr_vs_pretrained_tabicl_v2,mean_test_accuracy,median_test_accuracy,weighted_mean_test_accuracy,wins_test_accuracy,mean_delta_test_accuracy_vs_pretrained_tabicl_v2,mean_test_balanced_accuracy,median_test_balanced_accuracy,weighted_mean_test_balanced_accuracy,wins_test_balanced_accuracy,mean_delta_test_balanced_accuracy_vs_pretrained_tabicl_v2,mean_test_f1_macro,median_test_f1_macro,weighted_mean_test_f1_macro,wins_test_f1_macro,mean_delta_test_f1_macro_vs_pretrained_tabicl_v2,mean_test_mcc,median_test_mcc,weighted_mean_test_mcc,wins_test_mcc,mean_delta_test_mcc_vs_pretrained_tabicl_v2,mean_test_auroc,median_test_auroc,weighted_mean_test_auroc,wins_test_auroc,mean_delta_test_auroc_vs_pretrained_tabicl_v2,mean_test_roc_auc_ovr_macro,median_test_roc_auc_ovr_macro,weighted_mean_test_roc_auc_ovr_macro,wins_test_roc_auc_ovr_macro,mean_delta_test_roc_auc_ovr_macro_vs_pretrained_tabicl_v2,mean_test_ordinal_mae,median_test_ordinal_mae,weighted_mean_test_ordinal_mae,wins_test_ordinal_mae,mean_delta_test_ordinal_mae_vs_pretrained_tabicl_v2,mean_test_ordinal_rmse,median_test_ordinal_rmse,weighted_mean_test_ordinal_rmse,wins_test_ordinal_rmse,mean_delta_test_ordinal_rmse_vs_pretrained_tabicl_v2,mean_test_adjacent_accuracy,median_test_adjacent_accuracy,weighted_mean_test_adjacent_accuracy,wins_test_adjacent_accuracy,mean_delta_test_adjacent_accuracy_vs_pretrained_tabicl_v2,mean_test_quadratic_weighted_kappa,median_test_quadratic_weighted_kappa,weighted_mean_test_quadratic_weighted_kappa,wins_test_quadratic_weighted_kappa,mean_delta_test_quadratic_weighted_kappa_vs_pretrained_tabicl_v2,mean_test_spearman_pred_class,median_test_spearman_pred_class,weighted_mean_test_spearman_pred_class,wins_test_spearman_pred_class,mean_delta_test_spearman_pred_class_vs_pretrained_tabicl_v2,mean_test_expected_class_mae,median_test_expected_class_mae,weighted_mean_test_expected_class_mae,wins_test_expected_class_mae,mean_delta_test_expected_class_mae_vs_pretrained_tabicl_v2,mean_test_expected_class_spearman,median_test_expected_class_spearman,weighted_mean_test_expected_class_spearman,wins_test_expected_class_spearman,mean_delta_test_expected_class_spearman_vs_pretrained_tabicl_v2
step-500,500,catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,1,1,0,184.17920914311293,184.17920914311293,184.17920914311293,1,-4.770226798206977,245.27082356558748,245.27082356558748,245.2708235655875,1,-15.389064332720181,0.8199224654334067,0.8199224654334067,0.8199224654334067,1,0.023306175677746843,0.9112805160230547,0.9112805160230547,0.9112805160230547,1,0.034709915761013455,0.9323509602938433,0.9323509602938433,0.9323509602938433,1,0.005036551039095727,0.39822531706619013,0.39822531706619013,0.39822531706619013,1,-0.010314003888015066,0.5303152941958648,0.5303152941958648,0.5303152941958648,1,-0.0332736526112869,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-500,500,pretrained_tabicl_v2,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,1,1,0,188.9494359413199,188.9494359413199,188.9494359413199,0,0.0,260.65988789830766,260.65988789830766,260.65988789830766,0,0.0,0.7966162897556599,0.7966162897556599,0.7966162897556599,0,0.0,0.8765706002620413,0.8765706002620413,0.8765706002620411,0,0.0,0.9273144092547476,0.9273144092547476,0.9273144092547475,0,0.0,0.4085393209542052,0.4085393209542052,0.4085393209542052,0,0.0,0.5635889468071517,0.5635889468071517,0.5635889468071517,0,0.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-500,500,epit_scm_trial_0036,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-500.ckpt,1,1,0,287.78359888198366,287.78359888198366,287.78359888198366,0,98.83416294066376,357.35415473299656,357.35415473299656,357.35415473299656,0,96.6942668346889,0.6177342141056619,0.6177342141056619,0.6177342141056619,0,-0.17888207564999803,0.8050160977395834,0.8050160977395834,0.8050160977395834,0,-0.07155450252245787,0.8555332140076104,0.8555332140076104,0.8555332140076103,0,-0.07178119524713722,0.6222348083934782,0.6222348083934782,0.6222348083934782,0,0.21369548743927302,0.7726576318551277,0.7726576318551277,0.7726576318551277,0,0.20906868504797604,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-500,500,generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-500.ckpt,1,1,0,299.2889476550257,299.2889476550257,299.2889476550257,0,110.3395117137058,383.64789408665746,383.64789408665746,383.64789408665746,0,122.9880061883498,0.5594112591294603,0.5594112591294603,0.5594112591294603,0,-0.23720503062619958,0.7816241264060878,0.7816241264060878,0.7816241264060878,0,-0.09494647385595345,0.8345420087594598,0.8345420087594598,0.8345420087594598,0,-0.09277240049528779,0.6471112381730285,0.6471112381730285,0.6471112381730285,0,0.23857191721882332,0.8295089601873675,0.8295089601873675,0.8295089601873675,0,0.26592001338021587,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,1,1,0,184.17920914311293,184.17920914311293,184.17920914311293,1,-4.770226798206977,245.27082356558748,245.27082356558748,245.2708235655875,1,-15.389064332720181,0.8199224654334067,0.8199224654334067,0.8199224654334067,1,0.023306175677746843,0.9112805160230547,0.9112805160230547,0.9112805160230547,1,0.034709915761013455,0.9323509602938433,0.9323509602938433,0.9323509602938433,1,0.005036551039095727,0.39822531706619013,0.39822531706619013,0.39822531706619013,1,-0.010314003888015066,0.5303152941958648,0.5303152941958648,0.5303152941958648,1,-0.0332736526112869,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,pretrained_tabicl_v2,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,1,1,0,188.9494359413199,188.9494359413199,188.9494359413199,0,0.0,260.65988789830766,260.65988789830766,260.65988789830766,0,0.0,0.7966162897556599,0.7966162897556599,0.7966162897556599,0,0.0,0.8765706002620413,0.8765706002620413,0.8765706002620411,0,0.0,0.9273144092547476,0.9273144092547476,0.9273144092547475,0,0.0,0.4085393209542052,0.4085393209542052,0.4085393209542052,0,0.0,0.5635889468071517,0.5635889468071517,0.5635889468071517,0,0.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,epit_scm_trial_0036,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-1000.ckpt,1,1,0,255.07496164130623,255.07496164130623,255.07496164130623,0,66.12552569998633,345.69120391172106,345.69120391172106,345.69120391172106,0,85.0313160134134,0.6422790169085634,0.6422790169085634,0.6422790169085634,0,-0.15433727284709653,0.8619684009543814,0.8619684009543814,0.8619684009543814,0,-0.014602199307659824,0.8616042368472902,0.8616042368472902,0.8616042368472902,0,-0.06571017240745747,0.5515134305757973,0.5515134305757973,0.5515134305757973,0,0.14297410962159207,0.7474404408902077,0.7474404408902077,0.7474404408902077,0,0.183851494083056,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-1000.ckpt,1,1,0,288.14503180081596,288.14503180081596,288.14503180081596,0,99.19559585949605,384.71514441404514,384.71514441404514,384.71514441404514,0,124.05525651573748,0.5569565472778679,0.5569565472778679,0.5569565472778679,0,-0.23965974247779198,0.8353924659583482,0.8353924659583482,0.8353924659583482,0,-0.041178134303693104,0.8297094501259735,0.8297094501259735,0.8297094501259735,0,-0.0976049591287741,0.6230162849747372,0.6230162849747372,0.6230162849747372,0,0.21447696402053196,0.8318165284628003,0.8318165284628003,0.8318165284628003,0,0.26822758165564864,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1500,1500,catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,1,1,0,184.17920914311293,184.17920914311293,184.17920914311293,1,-4.770226798206977,245.27082356558748,245.27082356558748,245.2708235655875,1,-15.389064332720181,0.8199224654334067,0.8199224654334067,0.8199224654334067,1,0.023306175677746843,0.9112805160230547,0.9112805160230547,0.9112805160230547,1,0.034709915761013455,0.9323509602938433,0.9323509602938433,0.9323509602938433,1,0.005036551039095727,0.39822531706619013,0.39822531706619013,0.39822531706619013,1,-0.010314003888015066,0.5303152941958648,0.5303152941958648,0.5303152941958648,1,-0.0332736526112869,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1500,1500,generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-1500.ckpt,1,1,0,270.1565804342338,270.1565804342338,270.1565804342338,0,81.20714449291387,365.9523826902721,365.9523826902721,365.9523826902721,0,105.29249479196443,0.5991176683186704,0.5991176683186704,0.5991176683186704,0,-0.19749862143698949,0.8998745045155093,0.8998745045155093,0.8998745045155093,0,0.023303904253468066,0.8414066022233687,0.8414066022233687,0.8414066022233687,0,-0.0859078070313789,0.584122336074019,0.584122336074019,0.584122336074019,0,0.17558301511981378,0.7912483950059938,0.7912483950059938,0.7912483950059938,0,0.2276594481988421,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
