checkpoint_name,checkpoint_step,model,task_id,n_folds,validation_folds,model_kind,model_source,dataset,table,target,target_binning,n_samples,n_features,feature_groups,feature_group_counts,task_quality_flags,context_rows_min,context_rows_max,validation_rows_min,validation_rows_max,mean_test_spearman,median_test_spearman,std_test_spearman,min_test_spearman,max_test_spearman,mean_test_mae,median_test_mae,std_test_mae,min_test_mae,max_test_mae,mean_test_rmse,median_test_rmse,std_test_rmse,min_test_rmse,max_test_rmse,mean_test_r2,median_test_r2,std_test_r2,min_test_r2,max_test_r2,mean_test_pearson,median_test_pearson,std_test_pearson,min_test_pearson,max_test_pearson
step-500,500,generic_baseline,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.563085539161787,0.5457378431700151,0.13866730094448804,0.4065851473855655,0.7816241264060878,257.29115424609,248.19386855397136,23.655351187342493,242.88519686138147,299.2889476550257,338.0969467707841,326.825484933153,27.789183926071257,314.8301756962698,383.6478940866575,0.28928672082117757,0.2518866363697161,0.15674200811436595,0.1533150407731099,0.5594112591294603,0.5977387305683679,0.5517516913985722,0.1371065755061524,0.4906037753503406,0.8345420087594598
step-500,500,epit_scm_trial_0036,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.5162415313749248,0.4469852604010628,0.18204990970210363,0.3368834199912955,0.8050160977395834,266.1342320079421,264.4127035377329,17.209264407066204,242.30834420629412,287.78359888198366,335.9914316459108,338.23541328479376,19.421819283502035,307.56344968268064,357.35415473299656,0.284736969666921,0.2173807707938175,0.19942428980039187,0.1308421382627199,0.6177342141056619,0.567101658418172,0.4930744970438924,0.17273222683735162,0.4419583238449554,0.8555332140076104
step-500,500,pretrained_tabicl_v2,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6889862457157303,0.7264166761737962,0.15741918097522423,0.4972654121034983,0.8765706002620413,194.25667718263222,188.9494359413199,36.86832298560568,147.73902746228697,247.5178470109265,300.3581400295773,260.65988789830766,117.55450476942364,205.5124688962792,504.15891098827655,0.31396181162481074,0.558743360436929,0.6918553093098281,-0.8973551477817541,0.7966162897556599,0.6868127900529484,0.7510518633431433,0.2588149324185066,0.2579260068849429,0.9273144092547476
step-500,500,catboost,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6916923585585038,0.7670399984280225,0.1958688169355076,0.4787131740337256,0.9112805160230548,189.85624042744638,184.17920914311293,29.420550617532736,150.36678957921768,220.3852586003285,260.839072873263,245.27082356558748,60.69992982775559,197.1535948556598,340.6674030557137,0.5332370239031992,0.6617536377540367,0.2881057750666573,0.1336868750181218,0.8199224654334067,0.7376788974329462,0.8227456609591492,0.18693386192041672,0.4886175443365949,0.9323509602938432
step-1000,1000,generic_baseline,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-1000.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.5745464619228003,0.5540495453849353,0.19296757606711445,0.3531402323854729,0.8353924659583482,235.7433082901245,237.52264599538256,38.8542665445997,186.31815646023253,288.145031800816,326.4773574560567,321.0917896432911,56.238186638054806,256.46278740592714,384.71514441404514,0.3301310670605852,0.3900181739457486,0.2579036731126328,-0.0823379661941876,0.5569565472778679,0.6265351562863457,0.6289640698765875,0.16096708597640633,0.4140205364812012,0.8297094501259735
step-1000,1000,epit_scm_trial_0036,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-1000.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.5999890501824822,0.5695699374944044,0.20641756778164977,0.380056509385526,0.8619684009543814,234.7431339502071,253.94548315958912,34.23990057279747,180.18229999726717,262.47507914269534,332.24242432778266,345.69120391172106,66.22201699700378,247.8572355757564,424.5479682601549,0.27016571896822716,0.3691107573699328,0.3957149412421802,-0.3454490864753026,0.6422790169085634,0.6019196578300611,0.6252160667990316,0.2183334137045301,0.3140200991052825,0.8616042368472902
step-1000,1000,pretrained_tabicl_v2,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6889862457157303,0.7264166761737962,0.15741918097522423,0.4972654121034983,0.8765706002620413,194.25667718263222,188.9494359413199,36.86832298560568,147.73902746228697,247.5178470109265,300.3581400295773,260.65988789830766,117.55450476942364,205.5124688962792,504.15891098827655,0.31396181162481074,0.558743360436929,0.6918553093098281,-0.8973551477817541,0.7966162897556599,0.6868127900529484,0.7510518633431433,0.2588149324185066,0.2579260068849429,0.9273144092547476
step-1000,1000,catboost,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6916923585585038,0.7670399984280225,0.1958688169355076,0.4787131740337256,0.9112805160230548,189.85624042744638,184.17920914311293,29.420550617532736,150.36678957921768,220.3852586003285,260.839072873263,245.27082356558748,60.69992982775559,197.1535948556598,340.6674030557137,0.5332370239031992,0.6617536377540367,0.2881057750666573,0.1336868750181218,0.8199224654334067,0.7376788974329462,0.8227456609591492,0.18693386192041672,0.4886175443365949,0.9323509602938432
step-1500,1500,generic_baseline,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-1500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.5960028942855728,0.5340918521704017,0.1848187536138223,0.4226830357236089,0.8998745045155093,230.67341341266632,231.82279830811467,27.257967136343353,197.1980480906689,270.1565804342338,328.8219822099132,316.11679091369587,52.41603835235973,269.03597842360466,397.7377024549093,0.30870938349525734,0.3647569491516217,0.29780461163052724,-0.1808840476998481,0.5991176683186704,0.6288767646533253,0.6284180212901366,0.16576566827284345,0.3956189280533832,0.8414066022233687
step-1500,1500,epit_scm_trial_0036,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,5,1 2 3 4 5,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-1500.ckpt,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",continuous,608,21,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}",,486,487,121,122,0.6195642913008642,0.6346661608815236,0.19259869242072392,0.3896829200547899,0.8718623986759483,242.3224593264452,261.6449516284272,43.995327444032796,189.56613343334692,289.8291388009935,331.60748330565895,349.07311319011984,72.57176337742297,247.74755912671029,428.1311820343347,0.27730303034862164,0.4607102851839748,0.40578378181412256,-0.3682562930999944,0.6098275399040575,0.6406135637451404,0.6865623213848068,0.2160656362523401,0.3522620205092791,0.9087946232708888
