task_row_index,source_no,composition_group,composition_group_rows,outer_split,optuna_validation_fold,material_class,reference,temperature_celsius,chloride_molar,pH,test_method,target_decile,target_mV_SCE_development_only,"Composition, wt.% Fe","Composition, wt.% Cr","Composition, wt.% Ni","Composition, wt.% Mo","Composition, wt.% W","Composition, wt.% Nb","Composition, wt.% Al","Composition, wt.% V","Composition, wt.% Ta","Composition, wt.% Re","Composition, wt.% Ce","Composition, wt.% Ti","Composition, wt.% Co","Composition, wt.% B","Composition, wt.% Mg","Composition, wt.% Y","Composition, wt.% Gd"
0,1,composition_0001,5,development,1,Fe Alloy,49,50,0.0051335,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",6,287,69.705,18,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,composition_0001,5,development,1,Fe Alloy,49,50,0.00855583,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",5,260,69.705,18,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,composition_0001,5,development,1,Fe Alloy,49,50,0.0171117,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",5,218,69.705,18,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,composition_0001,5,development,1,Fe Alloy,49,50,0.0855583,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",4,140,69.705,18,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,composition_0001,5,development,1,Fe Alloy,49,50,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",3,94,69.705,18,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,composition_0002,5,final_test,,Fe Alloy,49,50,0.0051335,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",7,,67.535,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,composition_0002,5,final_test,,Fe Alloy,49,50,0.00855583,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",6,,67.535,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,composition_0002,5,final_test,,Fe Alloy,49,50,0.0171117,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",6,,67.535,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,composition_0002,5,final_test,,Fe Alloy,49,50,0.0855583,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",5,,67.535,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,composition_0002,5,final_test,,Fe Alloy,49,50,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25μA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.",4,,67.535,16,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
