checkpoint_name,checkpoint_step,task_id,dataset,table,target,target_threshold_median,target_binning,target_bins,target_bin_edges,regression_output,regression_uncertainty,regression_quantile_alphas,n_samples,n_train,n_test,n_features,n_classes,class_labels,class_counts,positive_rate,split_strategy,split_group_count,split_train_group_count,split_test_group_count,split_group_overlap_count,include_in_summary,summary_exclusion_reason,task_quality_flags,test_mae__generic_baseline,test_rmse__generic_baseline,test_r2__generic_baseline,test_spearman__generic_baseline,test_pearson__generic_baseline,test_nmae_iqr__generic_baseline,test_nrmse_iqr__generic_baseline,test_pinball_loss__generic_baseline,test_npinball_iqr__generic_baseline,test_quantile_calibration_mae__generic_baseline,test_quantile_calibration_max_error__generic_baseline,test_interval_50_coverage_error__generic_baseline,test_interval_50_nwidth_iqr__generic_baseline,test_interval_50_nwinkler_iqr__generic_baseline,test_interval_80_coverage_error__generic_baseline,test_interval_80_nwidth_iqr__generic_baseline,test_interval_80_nwinkler_iqr__generic_baseline,test_interval_90_coverage_error__generic_baseline,test_interval_90_nwidth_iqr__generic_baseline,test_interval_90_nwinkler_iqr__generic_baseline,test_mae__trial_0056,test_rmse__trial_0056,test_r2__trial_0056,test_spearman__trial_0056,test_pearson__trial_0056,test_nmae_iqr__trial_0056,test_nrmse_iqr__trial_0056,test_pinball_loss__trial_0056,test_npinball_iqr__trial_0056,test_quantile_calibration_mae__trial_0056,test_quantile_calibration_max_error__trial_0056,test_interval_50_coverage_error__trial_0056,test_interval_50_nwidth_iqr__trial_0056,test_interval_50_nwinkler_iqr__trial_0056,test_interval_80_coverage_error__trial_0056,test_interval_80_nwidth_iqr__trial_0056,test_interval_80_nwinkler_iqr__trial_0056,test_interval_90_coverage_error__trial_0056,test_interval_90_nwidth_iqr__trial_0056,test_interval_90_nwinkler_iqr__trial_0056,test_mae__pretrained_tabicl_v2,test_rmse__pretrained_tabicl_v2,test_r2__pretrained_tabicl_v2,test_spearman__pretrained_tabicl_v2,test_pearson__pretrained_tabicl_v2,test_nmae_iqr__pretrained_tabicl_v2,test_nrmse_iqr__pretrained_tabicl_v2,test_pinball_loss__pretrained_tabicl_v2,test_npinball_iqr__pretrained_tabicl_v2,test_quantile_calibration_mae__pretrained_tabicl_v2,test_quantile_calibration_max_error__pretrained_tabicl_v2,test_interval_50_coverage_error__pretrained_tabicl_v2,test_interval_50_nwidth_iqr__pretrained_tabicl_v2,test_interval_50_nwinkler_iqr__pretrained_tabicl_v2,test_interval_80_coverage_error__pretrained_tabicl_v2,test_interval_80_nwidth_iqr__pretrained_tabicl_v2,test_interval_80_nwinkler_iqr__pretrained_tabicl_v2,test_interval_90_coverage_error__pretrained_tabicl_v2,test_interval_90_nwidth_iqr__pretrained_tabicl_v2,test_interval_90_nwinkler_iqr__pretrained_tabicl_v2,test_mae__catboost,test_rmse__catboost,test_r2__catboost,test_spearman__catboost,test_pearson__catboost,test_nmae_iqr__catboost,test_nrmse_iqr__catboost,test_pinball_loss__catboost,test_npinball_iqr__catboost,test_quantile_calibration_mae__catboost,test_quantile_calibration_max_error__catboost,test_interval_50_coverage_error__catboost,test_interval_50_nwidth_iqr__catboost,test_interval_50_nwinkler_iqr__catboost,test_interval_80_coverage_error__catboost,test_interval_80_nwidth_iqr__catboost,test_interval_80_nwinkler_iqr__catboost,test_interval_90_coverage_error__catboost,test_interval_90_nwidth_iqr__catboost,test_interval_90_nwinkler_iqr__catboost,best_model__test_mae,best_value__test_mae,best_model__test_rmse,best_value__test_rmse,best_model__test_r2,best_value__test_r2,best_model__test_spearman,best_value__test_spearman,best_model__test_pearson,best_value__test_pearson,best_model__test_nmae_iqr,best_value__test_nmae_iqr,best_model__test_nrmse_iqr,best_value__test_nrmse_iqr
step-500,500,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,245.47760777336663,344.52871639590853,0.15331504077310998,0.4065851473855655,0.4906037753503406,0.48228138484037897,0.6768836798104264,,,,,,,,,,,,,,206.68731671321603,322.28007119455015,0.25913701942023115,0.5335586260370808,0.5658476474115185,0.4060714386031543,0.6331725343586597,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,trial_0056,206.68731671321603,pretrained_tabicl_v2,285.3713058802669,pretrained_tabicl_v2,0.4191130793881557,pretrained_tabicl_v2,0.5600380115222819,pretrained_tabicl_v2,0.6642602160311927,trial_0056,0.4060714386031543,pretrained_tabicl_v2,0.5606591568250354
step-1000,1000,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,237.52264599538256,321.0917896432911,0.2645902317682247,0.4400049609185602,0.5373367467233937,0.46665254595182154,0.6308379586011407,,,,,,,,,,,,,,193.0044286672015,282.71743097787487,0.4298670196322216,0.6544245280065377,0.6651402243574953,0.37918914063999265,0.5554451803864985,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,trial_0056,193.0044286672015,trial_0056,282.71743097787487,trial_0056,0.4298670196322216,trial_0056,0.6544245280065377,trial_0056,0.6651402243574953,trial_0056,0.37918914063999265,trial_0056,0.5554451803864985
step-1500,1500,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,231.82279830811467,316.11679091369587,0.28720257568766494,0.4981789678220187,0.5683708129035627,0.45545425189588185,0.6210637502786305,,,,,,,,,,,,,,186.13185903709453,275.69922047234,0.45782177802717783,0.6599933952734578,0.6849795872130997,0.36568684025225223,0.5416567443967052,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,trial_0056,186.13185903709453,trial_0056,275.69922047234,trial_0056,0.45782177802717783,trial_0056,0.6599933952734578,trial_0056,0.6849795872130997,trial_0056,0.36568684025225223,trial_0056,0.5416567443967052
step-2000,2000,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,230.8069627868544,324.0048675840316,0.2511858160404883,0.5320019871749327,0.5679061132655667,0.45345847490258573,0.6365611823043199,,,,,,,,,,,,,,186.32630480785855,278.19274147452956,0.44797012549377946,0.6681930152670654,0.6824948420077473,0.36606886114797077,0.5465556790611443,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,trial_0056,186.32630480785855,trial_0056,278.19274147452956,trial_0056,0.44797012549377946,trial_0056,0.6681930152670654,trial_0056,0.6824948420077473,trial_0056,0.36606886114797077,trial_0056,0.5465556790611443
step-2500,2500,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,245.54275715441014,333.7054945015341,0.20567595819789397,0.4790663509646899,0.5483232046911684,0.48240938158108443,0.6556196692515784,,,,,,,,,,,,,,172.17883920266993,264.6107205655494,0.5005570771328016,0.7085466469163797,0.7283716273008927,0.33827382368634096,0.5198715512813045,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,trial_0056,172.17883920266993,trial_0056,264.6107205655494,trial_0056,0.5005570771328016,trial_0056,0.7085466469163797,trial_0056,0.7283716273008927,trial_0056,0.33827382368634096,trial_0056,0.5198715512813045
step-3000,3000,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,224.5487511569556,315.2864719000617,0.29094215542157353,0.5221432743813289,0.5611503681844319,0.4411631824770612,0.6194324511659045,,,,,,,,,,,,,,222.59471698827446,312.48286167970906,0.30349634619390264,0.5137387465120246,0.6151207090668015,0.4373241589773414,0.6139242949153652,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,pretrained_tabicl_v2,207.80827415220085,pretrained_tabicl_v2,285.3713058802669,pretrained_tabicl_v2,0.4191130793881557,pretrained_tabicl_v2,0.5600380115222819,pretrained_tabicl_v2,0.6642602160311927,pretrained_tabicl_v2,0.40827374500056646,pretrained_tabicl_v2,0.5606591568250354
step-3500,3500,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,232.63859131488658,312.35975765902975,0.3040450195543525,0.590899781574804,0.5870491676041288,0.4570570122642014,0.6136824366941157,,,,,,,,,,,,,,231.25834008517828,323.9513432048832,0.2514331981497503,0.4880856024610846,0.5903794133135063,0.4543452803040875,0.6364560248036722,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,pretrained_tabicl_v2,207.80827415220085,pretrained_tabicl_v2,285.3713058802669,pretrained_tabicl_v2,0.4191130793881557,generic_baseline,0.590899781574804,pretrained_tabicl_v2,0.6642602160311927,pretrained_tabicl_v2,0.40827374500056646,pretrained_tabicl_v2,0.5606591568250354
step-4000,4000,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,246.6336895164507,333.55387701871894,0.20639758882472792,0.5984681531126362,0.5828158528722267,0.4845526987459553,0.6553217916152377,,,,,,,,,,,,,,213.6665559124948,300.27883665478697,0.35683790382295055,0.5288787945534257,0.6391779300289964,0.4197833090124015,0.5899474680958696,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,pretrained_tabicl_v2,207.80827415220085,pretrained_tabicl_v2,285.3713058802669,pretrained_tabicl_v2,0.4191130793881557,generic_baseline,0.5984681531126362,pretrained_tabicl_v2,0.6642602160311927,pretrained_tabicl_v2,0.40827374500056646,pretrained_tabicl_v2,0.5606591568250354
step-4500,4500,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,221.51677181435423,313.8370837943793,0.29744632164942386,0.626335624207396,0.5914241708641655,0.43520635729279744,0.6165848883713989,,,,,,,,,,,,,,195.0679834997851,286.08423616756164,0.41620704662193786,0.6031083250074467,0.6713410984410586,0.3832433356086486,0.5620598263580733,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,trial_0056,195.0679834997851,pretrained_tabicl_v2,285.3713058802669,pretrained_tabicl_v2,0.4191130793881557,generic_baseline,0.626335624207396,trial_0056,0.6713410984410586,trial_0056,0.3832433356086486,pretrained_tabicl_v2,0.5606591568250354
step-5000,5000,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,0,,,,epit_pipeline_development_fold_2,0,0,0,0,True,,,248.08467555440853,325.1629054580084,0.24582352097431215,0.5667570068656935,0.5709284396592638,0.48740340094285967,0.6388363393527574,,,,,,,,,,,,,,197.7093848644711,283.00128033484697,0.4287216136400126,0.5953383505596549,0.6731337283782765,0.38843280571810207,0.5560028494228244,,,,,,,,,,,,,,207.80827415220085,285.3713058802669,0.4191130793881557,0.5600380115222819,0.6642602160311927,0.40827374500056646,0.5606591568250354,,,,,,,,,,,,,,220.38525860032854,305.6460507027,0.33364053652208114,0.49127194381065253,0.5955699014113132,0.43298331232843024,0.600492248319376,,,,,,,,,,,,,,trial_0056,197.7093848644711,trial_0056,283.00128033484697,trial_0056,0.4287216136400126,trial_0056,0.5953383505596549,trial_0056,0.6731337283782765,trial_0056,0.38843280571810207,trial_0056,0.5560028494228244
