dataset,table,axis,group_a,group_b,relation,n_pairs,mean_abs_spearman,median_abs_spearman,q75_abs_spearman,max_abs_spearman,median_pair_n
electrochemical_metrics_alloys,Pitting Potential,current_group,material,material,within,234,0.11594645802947255,0.06767724467950811,0.1763407863955035,0.7748728798152944,764.5
electrochemical_metrics_alloys,Pitting Potential,current_group,environment,material,cross,72,0.12974457258110825,0.07783450766056177,0.188035585382396,0.5444514402891529,727.0
electrochemical_metrics_alloys,Pitting Potential,current_group,history,material,cross,23,0.11179732534544728,0.10249606178306434,0.14171823880163686,0.37139593791739794,633.0
electrochemical_metrics_alloys,Pitting Potential,current_group,environment,environment,within,3,0.1445191475881681,0.1230011411625134,0.21459392390225496,0.3061867066419965,727.0
electrochemical_metrics_alloys,Pitting Potential,current_group,environment,history,cross,3,0.14196592250025886,0.15132847544648423,0.17500560418587197,0.19868273292525968,620.0
electrochemical_metrics_alloys,Pitting Potential,semantic_domain,material,material,within,234,0.11594645802947255,0.06767724467950811,0.1763407863955035,0.7748728798152944,764.5
electrochemical_metrics_alloys,Pitting Potential,semantic_domain,environment,material,cross,72,0.12974457258110825,0.07783450766056177,0.188035585382396,0.5444514402891529,727.0
electrochemical_metrics_alloys,Pitting Potential,semantic_domain,history,material,cross,23,0.11179732534544728,0.10249606178306434,0.14171823880163686,0.37139593791739794,633.0
electrochemical_metrics_alloys,Pitting Potential,semantic_domain,environment,environment,within,3,0.1445191475881681,0.1230011411625134,0.21459392390225496,0.3061867066419965,727.0
electrochemical_metrics_alloys,Pitting Potential,semantic_domain,environment,history,cross,3,0.14196592250025886,0.15132847544648423,0.17500560418587197,0.19868273292525968,620.0
electrochemical_metrics_alloys,Pitting Potential,causal_role,base_material_condition,base_material_condition,within,234,0.11594645802947255,0.06767724467950811,0.1763407863955035,0.7748728798152944,764.5
electrochemical_metrics_alloys,Pitting Potential,causal_role,base_material_condition,exposure_context,cross,72,0.12974457258110825,0.07783450766056177,0.188035585382396,0.5444514402891529,727.0
electrochemical_metrics_alloys,Pitting Potential,causal_role,base_material_condition,process_or_history_condition,cross,23,0.11179732534544728,0.10249606178306434,0.14171823880163686,0.37139593791739794,633.0
electrochemical_metrics_alloys,Pitting Potential,causal_role,exposure_context,exposure_context,within,3,0.1445191475881681,0.1230011411625134,0.21459392390225496,0.3061867066419965,727.0
electrochemical_metrics_alloys,Pitting Potential,causal_role,exposure_context,process_or_history_condition,cross,3,0.14196592250025886,0.15132847544648423,0.17500560418587197,0.19868273292525968,620.0
electrochemical_metrics_alloys,Pitting Potential,statistical_family,composition_component,composition_component,within,136,0.07680224807321957,0.029441317555419802,0.10050410560733902,0.5031986600362496,795.0
electrochemical_metrics_alloys,Pitting Potential,statistical_family,composition_component,percentage_or_fraction,cross,67,0.161048773940807,0.12818866409705923,0.23849729976230324,0.4629099389921023,323.0
electrochemical_metrics_alloys,Pitting Potential,statistical_family,composition_component,mostly_missing,cross,10,0.11402561600102207,0.08321569044221921,0.20648702813694816,0.2520946931550303,156.0
electrochemical_metrics_alloys,Pitting Potential,statistical_family,composition_component,temperature_like,cross,17,0.1636842933176367,0.10727107974216768,0.2857593283923458,0.4752216461915828,727.0
electrochemical_metrics_alloys,Pitting Potential,statistical_family,composition_component,signed_continuous_numeric,cross,34,0.06952258766396115,0.04238032335176201,0.10853072687794754,0.2671165786308975,762.0
