axis,group_a,group_b,relation,weighted_n_pairs,mean_abs_spearman,median_abs_spearman,q75_abs_spearman,max_abs_spearman
causal_role,base_material_condition,downstream_response_measurement,cross,12,0.2745534305715525,0.286170877527077,0.286170877527077,0.286170877527077
causal_role,base_material_condition,exposure_context,cross,273,0.1818502222326662,0.1362972673982788,0.18118688906345085,0.5488821316278869
causal_role,base_material_condition,process_or_history_condition,cross,97,0.2765338731372803,0.3162588510953109,0.3422870802510454,0.5549367152850511
causal_role,direct_intervention_control,exposure_context,cross,6,0.12149001775647575,0.12149001775647575,0.12149001775647575,0.12149001775647575
causal_role,direct_intervention_control,intervention_agent_descriptor,cross,284,0.12088053737251483,0.12088053737251483,0.12088053737251483,0.12088053737251483
causal_role,direct_intervention_control,process_or_history_condition,cross,2,0.1710107366958893,0.1710107366958893,0.1710107366958893,0.1710107366958893
causal_role,downstream_response_measurement,exposure_context,cross,5,0.0901994495152358,0.0901994495152358,0.0901994495152358,0.0901994495152358
causal_role,downstream_response_measurement,process_or_history_condition,cross,1,0.45920891060480656,0.45920891060480656,0.45920891060480656,0.45920891060480656
causal_role,exposure_context,intervention_agent_descriptor,cross,440,0.16268727854782497,0.16803380882873942,0.16803380882873942,0.16803380882873942
causal_role,exposure_context,process_or_history_condition,cross,19,0.2934016898688483,0.27823044354590337,0.2922281794570183,0.9890895961820545
causal_role,intervention_agent_descriptor,process_or_history_condition,cross,142,0.11573540697315933,0.11573540697315933,0.11573540697315933,0.11573540697315933
causal_role,base_material_condition,base_material_condition,within,1083,0.20703718462116197,0.12356983252876601,0.29444691133349277,0.3940438418959251
causal_role,direct_intervention_control,direct_intervention_control,within,1,0.01838063572016435,0.01838063572016435,0.01838063572016435,0.01838063572016435
causal_role,exposure_context,exposure_context,within,54,0.2951516619837425,0.26897268162613225,0.3047554309110333,0.9781791923641091
causal_role,intervention_agent_descriptor,intervention_agent_descriptor,within,1183900,0.26017349605512213,0.26066044691102735,0.26066044691102735,0.3122761089112654
current_group,electrochem,environment,cross,5,0.0901994495152358,0.0901994495152358,0.0901994495152358,0.0901994495152358
current_group,electrochem,material,cross,1,0.1467615140607834,0.1467615140607834,0.1467615140607834,0.1467615140607834
current_group,environment,history,cross,18,0.27487077749294647,0.24577551751280663,0.2891083480726584,0.9890895961820545
current_group,environment,intervention,cross,447,0.16317293239422132,0.1673873672860691,0.1673873672860691,0.6269581126350809
current_group,environment,material,cross,273,0.1818502222326662,0.1362972673982788,0.18118688906345085,0.5488821316278869
current_group,history,intervention,cross,144,0.11650311988597502,0.11650311988597502,0.11650311988597502,0.11650311988597502
current_group,history,material,cross,93,0.27430136310781106,0.3162588510953109,0.33529630988828074,0.5549367152850511
current_group,intervention,material,cross,15,0.2974425718725071,0.2974425718725071,0.2974425718725071,0.2974425718725071
current_group,environment,environment,within,54,0.2951516619837425,0.26897268162613225,0.3047554309110333,0.9781791923641091
current_group,history,history,within,1,0.45920891060480656,0.45920891060480656,0.45920891060480656,0.45920891060480656
current_group,intervention,intervention,within,1184185,0.2601398856031014,0.26066044691102735,0.26066044691102735,0.3122761089112654
current_group,material,material,within,1083,0.20703718462116197,0.12356983252876601,0.29444691133349277,0.3940438418959251
semantic_domain,electrochem,environment,cross,5,0.0901994495152358,0.0901994495152358,0.0901994495152358,0.0901994495152358
semantic_domain,electrochem,history,cross,1,0.45920891060480656,0.45920891060480656,0.45920891060480656,0.45920891060480656
semantic_domain,electrochem,material,cross,12,0.2745534305715525,0.286170877527077,0.286170877527077,0.286170877527077
semantic_domain,environment,history,cross,18,0.27487077749294647,0.24577551751280663,0.2891083480726584,0.9890895961820545
semantic_domain,environment,intervention,cross,6,0.12149001775647575,0.12149001775647575,0.12149001775647575,0.12149001775647575
semantic_domain,environment,material,cross,273,0.1818502222326662,0.1362972673982788,0.18118688906345085,0.5488821316278869
semantic_domain,environment,molecular_descriptor,cross,440,0.16268727854782497,0.16803380882873942,0.16803380882873942,0.16803380882873942
semantic_domain,environment,process,cross,1,0.6269581126350809,0.6269581126350809,0.6269581126350809,0.6269581126350809
semantic_domain,history,intervention,cross,2,0.1710107366958893,0.1710107366958893,0.1710107366958893,0.1710107366958893
semantic_domain,history,material,cross,82,0.27270911117351926,0.3162588510953109,0.3422870802510454,0.5549367152850511
semantic_domain,history,molecular_descriptor,cross,142,0.11573540697315933,0.11573540697315933,0.11573540697315933,0.11573540697315933
semantic_domain,intervention,molecular_descriptor,cross,284,0.12088053737251483,0.12088053737251483,0.12088053737251483,0.12088053737251483
semantic_domain,material,process,cross,15,0.2974425718725071,0.2974425718725071,0.2974425718725071,0.2974425718725071
semantic_domain,environment,environment,within,54,0.2951516619837425,0.26897268162613225,0.3047554309110333,0.9781791923641091
semantic_domain,intervention,intervention,within,1,0.01838063572016435,0.01838063572016435,0.01838063572016435,0.01838063572016435
semantic_domain,material,material,within,1083,0.20703718462116197,0.12356983252876601,0.29444691133349277,0.3940438418959251
semantic_domain,molecular_descriptor,molecular_descriptor,within,1183900,0.26017349605512213,0.26066044691102735,0.26066044691102735,0.3122761089112654
statistical_family,bounded_0_1,categorical_nominal,cross,4,0.1002774678230529,0.1002774678230529,0.1002774678230529,0.1002774678230529
statistical_family,bounded_0_1,composition_component,cross,168,0.18594925780653157,0.11200959963676595,0.22540134498153652,0.5549367152850511
statistical_family,bounded_0_1,concentration_like,cross,12,0.10030913298915971,0.07900810161094832,0.1074976965048163,0.19296648118642024
statistical_family,bounded_0_1,dense_molecular_descriptor,cross,142,0.0732669862263883,0.0732669862263883,0.0732669862263883,0.0732669862263883
statistical_family,bounded_0_1,electrochemical_or_rate_response,cross,9,0.13152140274575905,0.06639199129348267,0.14797523438912621,0.3678994601078469
statistical_family,bounded_0_1,high_cardinality_categorical,cross,3,0.35258096600977856,0.35258096600977856,0.35258096600977856,0.35258096600977856
statistical_family,bounded_0_1,low_cardinality_numeric,cross,10,0.19911814258881994,0.29733060091672553,0.3004156503905287,0.30144400021512974
statistical_family,bounded_0_1,mostly_missing,cross,3,0.39362899211302516,0.39362899211302516,0.39362899211302516,0.39362899211302516
statistical_family,bounded_0_1,pH_bounded,cross,8,0.342310196008317,0.33889048945649336,0.534107283391799,0.534107283391799
statistical_family,bounded_0_1,percentage_or_fraction,cross,11,0.3977677725284375,0.46456411057985686,0.46456411057985686,0.5122283251025211
statistical_family,bounded_0_1,positive_continuous_numeric,cross,6,0.44741345789209586,0.44741345789209586,0.4887093714442476,0.4887093714442476
statistical_family,bounded_0_1,signed_continuous_numeric,cross,1,0.2017662992487622,0.2017662992487622,0.2017662992487622,0.2017662992487622
statistical_family,bounded_0_1,signed_electrochemical_potential,cross,1,0.45920891060480656,0.45920891060480656,0.45920891060480656,0.45920891060480656
statistical_family,bounded_0_1,temperature_like,cross,8,0.3446014699720398,0.05540726632607211,0.6506436858893434,0.9781791923641091
statistical_family,bounded_0_1,time_or_rate_condition,cross,1,0.11848279354818665,0.11848279354818665,0.11848279354818665,0.11848279354818665
statistical_family,categorical_nominal,low_cardinality_numeric,cross,1,0.1467615140607834,0.1467615140607834,0.1467615140607834,0.1467615140607834
statistical_family,categorical_nominal,temperature_like,cross,1,0.3950110241030739,0.3950110241030739,0.3950110241030739,0.3950110241030739
statistical_family,composition_component,concentration_like,cross,42,0.10422071257949247,0.09247245267040786,0.09247245267040786,0.20361703214635446
statistical_family,composition_component,dense_molecular_descriptor,cross,1742,0.3828203135218599,0.3828203135218599,0.3828203135218599,0.3828203135218599
statistical_family,composition_component,electrochemical_or_rate_response,cross,45,0.15559467232200244,0.11121557647013014,0.23293144215418624,0.23293144215418624
statistical_family,composition_component,high_cardinality_categorical,cross,12,0.28365797333818926,0.28365797333818926,0.28365797333818926,0.28365797333818926
statistical_family,composition_component,low_cardinality_numeric,cross,7,0.0009174102862836134,0.0,0.002140624001328431,0.002140624001328431
statistical_family,composition_component,mostly_missing,cross,29,0.3040965627733434,0.40413390317982834,0.40413390317982834,0.40413390317982834
statistical_family,composition_component,pH_bounded,cross,29,0.2411691651061638,0.24913674035140262,0.24913674035140262,0.4405194174212876
statistical_family,composition_component,percentage_or_fraction,cross,162,0.30168410025575376,0.39587138532312616,0.40233006921470504,0.40233006921470504
statistical_family,composition_component,positive_continuous_numeric,cross,40,0.27046182964434146,0.29464172625213847,0.29464172625213847,0.29464172625213847
statistical_family,composition_component,signed_continuous_numeric,cross,34,0.06952258766396115,0.06952258766396115,0.06952258766396115,0.06952258766396115
statistical_family,composition_component,signed_electrochemical_potential,cross,11,0.286170877527077,0.286170877527077,0.286170877527077,0.286170877527077
statistical_family,composition_component,temperature_like,cross,35,0.2924341602110506,0.3644942216256411,0.3644942216256411,0.5428275479707227
statistical_family,concentration_like,dense_molecular_descriptor,cross,284,0.16010363437399733,0.16010363437399733,0.16010363437399733,0.16010363437399733
statistical_family,concentration_like,electrochemical_or_rate_response,cross,2,0.6669197043343418,0.6669197043343418,0.6757337753745134,0.684547846414685
statistical_family,concentration_like,high_cardinality_categorical,cross,1,0.6269581126350809,0.6269581126350809,0.6269581126350809,0.6269581126350809
statistical_family,concentration_like,low_cardinality_numeric,cross,2,0.0005066950113928975,0.0005066950113928975,0.0007600425170893462,0.001013390022785795
statistical_family,concentration_like,pH_bounded,cross,2,0.2895024283723639,0.2895024283723639,0.3455298571227781,0.40155728587319234
statistical_family,concentration_like,positive_continuous_numeric,cross,5,0.0666435833159486,0.05159174565748223,0.07351112047366444,0.10493155913363192
statistical_family,concentration_like,signed_continuous_numeric,cross,2,0.42369587873229847,0.42369587873229847,0.42369587873229847,0.42369587873229847
statistical_family,concentration_like,temperature_like,cross,2,0.18220942195529932,0.18220942195529932,0.18220942195529932,0.18220942195529932
statistical_family,concentration_like,time_or_rate_condition,cross,2,0.3173841869396969,0.3173841869396969,0.3173841869396969,0.3173841869396969
statistical_family,dense_molecular_descriptor,pH_bounded,cross,14,0.0,0.0,0.0,0.0
statistical_family,dense_molecular_descriptor,signed_continuous_numeric,cross,142,0.1509865349188058,0.1509865349188058,0.1509865349188058,0.1509865349188058
statistical_family,dense_molecular_descriptor,temperature_like,cross,142,0.20140171133805918,0.20140171133805918,0.20140171133805918,0.20140171133805918
statistical_family,dense_molecular_descriptor,time_or_rate_condition,cross,142,0.11573540697315933,0.11573540697315933,0.11573540697315933,0.11573540697315933
statistical_family,electrochemical_or_rate_response,low_cardinality_numeric,cross,2,0.0002467297764729957,0.0002467297764729957,0.00037009466470949357,0.0004934595529459914
statistical_family,electrochemical_or_rate_response,mostly_missing,cross,2,0.2577947063249589,0.2577947063249589,0.33544402859590616,0.4130933508668534
statistical_family,electrochemical_or_rate_response,pH_bounded,cross,4,0.16473439283450858,0.16084059841673748,0.2419118786689239,0.27866594857029353
statistical_family,electrochemical_or_rate_response,percentage_or_fraction,cross,9,0.3251608862552502,0.1652082677580402,0.6450661232496702,0.6450661232496702
statistical_family,electrochemical_or_rate_response,positive_continuous_numeric,cross,2,0.12076739720555627,0.12076739720555627,0.1283759077218143,0.13598441823807234
statistical_family,electrochemical_or_rate_response,signed_continuous_numeric,cross,2,0.17500560418587197,0.17500560418587197,0.17500560418587197,0.17500560418587197
statistical_family,electrochemical_or_rate_response,temperature_like,cross,2,0.22760649299079028,0.22760649299079028,0.3034664599216691,0.3793264268525479
statistical_family,high_cardinality_categorical,mostly_missing,cross,4,0.030005588259117068,0.030005588259117068,0.030005588259117068,0.030005588259117068
statistical_family,low_cardinality_numeric,pH_bounded,cross,2,0.002195678382702556,0.002195678382702556,0.0032935175740538337,0.004391356765405112
statistical_family,low_cardinality_numeric,positive_continuous_numeric,cross,2,0.8233247137245789,0.8233247137245789,0.8564081703203732,0.8894916269161675
statistical_family,low_cardinality_numeric,temperature_like,cross,1,0.2561396250835453,0.2561396250835453,0.2561396250835453,0.2561396250835453
statistical_family,mostly_missing,pH_bounded,cross,3,0.41295220441337105,0.41295220441337105,0.41295220441337105,0.41295220441337105
statistical_family,mostly_missing,percentage_or_fraction,cross,12,0.4510206271497158,0.4510206271497158,0.6796039544056008,0.6796039544056008
statistical_family,mostly_missing,signed_continuous_numeric,cross,2,0.10714719493560027,0.10714719493560027,0.10714719493560027,0.10714719493560027
statistical_family,mostly_missing,temperature_like,cross,4,0.45117871357783546,0.5750660969869887,0.5750660969869887,0.5750660969869887
statistical_family,pH_bounded,percentage_or_fraction,cross,3,0.13507402488335146,0.13507402488335146,0.13507402488335146,0.13507402488335146
statistical_family,pH_bounded,positive_continuous_numeric,cross,2,0.1059269254869197,0.1059269254869197,0.12685134160637765,0.14777575772583562
statistical_family,pH_bounded,temperature_like,cross,1,0.35615206314790154,0.35615206314790154,0.35615206314790154,0.35615206314790154
statistical_family,percentage_or_fraction,signed_continuous_numeric,cross,12,0.2083023284923952,0.2083023284923952,0.2083023284923952,0.2083023284923952
statistical_family,percentage_or_fraction,temperature_like,cross,9,0.22032386645874275,0.23362822728916208,0.23362822728916208,0.23362822728916208
statistical_family,signed_continuous_numeric,temperature_like,cross,3,0.2017682135061226,0.21459392390225496,0.21459392390225496,0.21459392390225496
statistical_family,signed_continuous_numeric,time_or_rate_condition,cross,1,0.3119460269232347,0.3119460269232347,0.3119460269232347,0.3119460269232347
statistical_family,temperature_like,time_or_rate_condition,cross,2,0.08168717829862043,0.08168717829862043,0.11759799785531938,0.15350881741201833
statistical_family,bounded_0_1,bounded_0_1,within,19,0.2757961129997449,0.2870373647312552,0.29796665803735134,1.0
statistical_family,composition_component,composition_component,within,690,0.18017686066809824,0.1268470667464613,0.2541197227974694,0.9928196314332093
statistical_family,concentration_like,concentration_like,within,1,0.05904240251889507,0.05904240251889507,0.05904240251889507,0.05904240251889507
statistical_family,dense_molecular_descriptor,dense_molecular_descriptor,within,1182157,0.25999214670629417,0.26066044691102735,0.26066044691102735,0.3122761089112654
statistical_family,high_cardinality_categorical,high_cardinality_categorical,within,6,0.24286951021172884,0.24286951021172884,0.24286951021172884,0.24286951021172884
statistical_family,mostly_missing,mostly_missing,within,1,0.6651089201388543,0.6651089201388543,0.6651089201388543,0.6651089201388543
statistical_family,percentage_or_fraction,percentage_or_fraction,within,36,0.3059584102525223,0.3202898917306397,0.3202898917306397,0.6093556968026155
statistical_family,positive_continuous_numeric,positive_continuous_numeric,within,3,0.15020076095693213,0.15020076095693213,0.15020076095693213,0.15020076095693213
statistical_family,signed_continuous_numeric,signed_continuous_numeric,within,1,0.004369594959994454,0.004369594959994454,0.004369594959994454,0.004369594959994454
