dataset,table,rows,columns,current_group_counts,semantic_domain_counts,causal_role_counts,statistical_family_counts,review_priority_counts,n_numeric_columns,n_targets,n_molecular_descriptor_candidates,n_intervention_agent_descriptor_roles
electrochemical_metrics_alloys,Pitting Potential,810,41,"{""environment"": 4, ""history"": 4, ""material"": 24, ""metadata"": 6, ""target"": 3}","{""environment"": 4, ""history"": 3, ""intervention"": 1, ""material"": 24, ""metadata"": 6, ""target"": 3}","{""base_material_condition"": 24, ""direct_intervention_control"": 1, ""exposure_context"": 4, ""metadata_identifier"": 6, ""process_or_history_condition"": 3, ""target_response"": 3}","{""categorical_nominal"": 4, ""composition_component"": 17, ""electrochemical_or_rate_response"": 1, ""high_cardinality_categorical"": 2, ""low_cardinality_numeric"": 2, ""mostly_missing"": 5, ""percentage_or_fraction"": 6, ""signed_continuous_numeric"": 2, ""signed_electrochemical_potential"": 1, ""temperature_like"": 1}","{""low"": 39, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",33,3,0,0
electrochemical_metrics_alloys,Repassivation Potential,189,38,"{""environment"": 4, ""history"": 4, ""material"": 24, ""metadata"": 5, ""target"": 1}","{""environment"": 4, ""history"": 3, ""intervention"": 1, ""material"": 24, ""metadata"": 5, ""target"": 1}","{""base_material_condition"": 24, ""direct_intervention_control"": 1, ""exposure_context"": 4, ""metadata_identifier"": 5, ""process_or_history_condition"": 3, ""target_response"": 1}","{""bounded_0_1"": 1, ""categorical_nominal"": 4, ""composition_component"": 18, ""electrochemical_or_rate_response"": 1, ""low_cardinality_numeric"": 2, ""mostly_missing"": 6, ""pH_bounded"": 1, ""percentage_or_fraction"": 3, ""signed_electrochemical_potential"": 1, ""temperature_like"": 1}","{""low"": 36, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",31,1,0,0
electrochemical_metrics_alloys,Crevice Corrosion Potential,31,30,"{""environment"": 4, ""history"": 4, ""material"": 14, ""metadata"": 5, ""target"": 3}","{""environment"": 4, ""history"": 3, ""intervention"": 1, ""material"": 14, ""metadata"": 5, ""target"": 3}","{""base_material_condition"": 14, ""direct_intervention_control"": 1, ""exposure_context"": 4, ""metadata_identifier"": 5, ""process_or_history_condition"": 3, ""target_response"": 3}","{""bounded_0_1"": 2, ""categorical_nominal"": 5, ""composition_component"": 13, ""low_cardinality_numeric"": 2, ""mostly_missing"": 5, ""pH_bounded"": 1, ""signed_electrochemical_potential"": 1, ""temperature_like"": 1}","{""low"": 28, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",20,3,0,0
electrochemical_metrics_alloys,Pitting Temp,117,28,"{""environment"": 1, ""history"": 5, ""material"": 14, ""metadata"": 5, ""target"": 3}","{""electrochem"": 1, ""environment"": 1, ""history"": 3, ""intervention"": 1, ""material"": 14, ""metadata"": 5, ""target"": 3}","{""base_material_condition"": 14, ""direct_intervention_control"": 1, ""downstream_response_measurement"": 1, ""exposure_context"": 1, ""metadata_identifier"": 5, ""process_or_history_condition"": 3, ""target_response"": 3}","{""bounded_0_1"": 1, ""categorical_nominal"": 6, ""composition_component"": 13, ""low_cardinality_numeric"": 2, ""mostly_missing"": 1, ""percentage_or_fraction"": 1, ""positive_continuous_numeric"": 3, ""signed_electrochemical_potential"": 1}","{""high_leakage_or_response_feature"": 1, ""low"": 25, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",21,3,0,0
electrochemical_metrics_alloys,Crevice Corrosion Temp,70,34,"{""environment"": 1, ""history"": 5, ""material"": 20, ""metadata"": 5, ""target"": 3}","{""electrochem"": 1, ""environment"": 1, ""history"": 3, ""intervention"": 1, ""material"": 20, ""metadata"": 5, ""target"": 3}","{""base_material_condition"": 20, ""direct_intervention_control"": 1, ""downstream_response_measurement"": 1, ""exposure_context"": 1, ""metadata_identifier"": 5, ""process_or_history_condition"": 3, ""target_response"": 3}","{""bounded_0_1"": 1, ""categorical_nominal"": 5, ""composition_component"": 13, ""low_cardinality_numeric"": 2, ""mostly_missing"": 4, ""percentage_or_fraction"": 7, ""positive_skewed_numeric"": 2}","{""high_leakage_or_response_feature"": 1, ""low"": 31, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",26,3,0,0
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate",51,115,"{""electrochem"": 2, ""environment"": 4, ""history"": 4, ""material"": 21, ""metadata"": 78, ""target"": 6}","{""electrochem"": 2, ""environment"": 4, ""history"": 3, ""intervention"": 1, ""material"": 21, ""metadata"": 78, ""target"": 6}","{""base_material_condition"": 21, ""direct_intervention_control"": 1, ""downstream_response_measurement"": 2, ""exposure_context"": 4, ""metadata_identifier"": 78, ""process_or_history_condition"": 3, ""target_response"": 6}","{""bounded_0_1"": 3, ""categorical_nominal"": 6, ""composition_component"": 14, ""electrochemical_or_rate_response"": 1, ""low_cardinality_numeric"": 2, ""mostly_missing"": 85, ""pH_bounded"": 1, ""percentage_or_fraction"": 1, ""signed_electrochemical_potential"": 1, ""temperature_like"": 1}","{""high_leakage_or_response_feature"": 2, ""low"": 111, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",29,6,0,0
mpea_corrosion,Sheet1,619,39,"{""environment"": 3, ""intervention"": 1, ""material"": 29, ""metadata"": 2, ""target"": 4}","{""environment"": 3, ""material"": 29, ""metadata"": 2, ""process"": 1, ""target"": 4}","{""base_material_condition"": 29, ""exposure_context"": 3, ""metadata_identifier"": 2, ""process_or_history_condition"": 1, ""target_response"": 4}","{""bounded_0_1"": 4, ""categorical_nominal"": 3, ""composition_component"": 24, ""concentration_like"": 1, ""electrochemical_or_rate_response"": 1, ""high_cardinality_categorical"": 1, ""identifier_or_free_text"": 2, ""positive_continuous_numeric"": 1, ""signed_electrochemical_potential"": 2}","{""low"": 37, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",33,4,0,0
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,97,25,"{""environment"": 2, ""intervention"": 1, ""material"": 17, ""metadata"": 2, ""target"": 3}","{""environment"": 2, ""material"": 17, ""metadata"": 2, ""process"": 1, ""target"": 3}","{""base_material_condition"": 17, ""exposure_context"": 2, ""metadata_identifier"": 2, ""process_or_history_condition"": 1, ""target_response"": 3}","{""categorical_nominal"": 6, ""composition_component"": 11, ""concentration_like"": 1, ""electrochemical_or_rate_response"": 1, ""mostly_missing"": 1, ""positive_continuous_numeric"": 3, ""signed_electrochemical_potential"": 2}","{""low"": 23, ""medium_ambiguous"": 1, ""medium_group_changed"": 1}",18,3,0,0
steel_mortar_corrosion,01_Carbonation,180,17,"{""environment"": 6, ""material"": 6, ""metadata"": 1, ""target"": 4}","{""environment"": 6, ""material"": 6, ""metadata"": 1, ""target"": 4}","{""base_material_condition"": 6, ""exposure_context"": 6, ""metadata_identifier"": 1, ""target_response"": 4}","{""bounded_0_1"": 3, ""composition_component"": 4, ""concentration_like"": 2, ""electrochemical_or_rate_response"": 3, ""low_cardinality_numeric"": 1, ""mostly_missing"": 1, ""pH_bounded"": 1, ""positive_continuous_numeric"": 1, ""signed_electrochemical_potential"": 1}","{""low"": 15, ""medium_ambiguous"": 2}",16,4,0,0
steel_mortar_corrosion,02_Chloride,95,16,"{""environment"": 6, ""material"": 5, ""metadata"": 1, ""target"": 4}","{""environment"": 6, ""material"": 5, ""metadata"": 1, ""target"": 4}","{""base_material_condition"": 5, ""exposure_context"": 6, ""metadata_identifier"": 1, ""target_response"": 4}","{""bounded_0_1"": 3, ""composition_component"": 3, ""concentration_like"": 2, ""electrochemical_or_rate_response"": 3, ""low_cardinality_numeric"": 1, ""mostly_missing"": 1, ""pH_bounded"": 1, ""positive_continuous_numeric"": 1, ""signed_electrochemical_potential"": 1}","{""low"": 14, ""medium_ambiguous"": 2}",15,4,0,0
