draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
0,all,surrogate_spearman,32,0.043621700879765385,0.00806451612903226
0,all,surrogate_mae,32,0.022360703812316713,0.01612903225806452
0,all,surrogate_rmse,32,-0.01979472140762463,-0.00806451612903226
0,informed,surrogate_spearman,25,0.027692307692307697,0.01333333333333333
0,generic,surrogate_spearman,7,-0.5714285714285715,-0.5238095238095238
0,informed,pren_spearman,25,-0.39307692307692305,-0.2666666666666666
0,generic,fake_pren_spearman,7,0.3571428571428572,0.14285714285714288
1,all,surrogate_spearman,32,-0.15065982404692083,-0.08467741935483872
1,all,surrogate_mae,32,-0.20601173020527858,-0.11290322580645162
1,all,surrogate_rmse,32,-0.016129032258064516,-0.012096774193548388
1,informed,surrogate_spearman,28,-0.13628899835796388,-0.06349206349206349
1,generic,surrogate_spearman,4,-0.39999999999999997,-0.3333333333333334
1,informed,pren_spearman,28,-0.2796934865900383,-0.20634920634920634
1,generic,fake_pren_spearman,4,0.7999999999999999,0.6666666666666669
2,all,surrogate_spearman,32,-0.05755131964809384,-0.020161290322580648
2,all,surrogate_mae,32,-0.17925219941348972,-0.12903225806451615
2,all,surrogate_rmse,32,-0.1785190615835777,-0.12096774193548389
2,informed,surrogate_spearman,25,-0.02846153846153846,0.0
2,generic,surrogate_spearman,7,0.0,-0.04761904761904762
2,informed,pren_spearman,25,0.17307692307692307,0.09333333333333331
2,generic,fake_pren_spearman,7,0.07142857142857144,-0.04761904761904762
3,all,surrogate_spearman,32,0.13379765395894427,0.07661290322580645
3,all,surrogate_mae,32,-0.27382697947214074,-0.1532258064516129
3,all,surrogate_rmse,32,-0.2261730205278592,-0.1370967741935484
3,informed,surrogate_spearman,24,0.02260869565217391,0.021739130434782608
3,generic,surrogate_spearman,8,-0.4047619047619048,-0.21428571428571427
3,informed,pren_spearman,24,-0.2026086956521739,-0.15217391304347824
3,generic,fake_pren_spearman,8,0.2142857142857143,0.07142857142857142
4,all,surrogate_spearman,32,-0.10117302052785922,-0.07258064516129033
4,all,surrogate_mae,32,-0.009897360703812315,0.01612903225806452
4,all,surrogate_rmse,32,0.05388563049853372,0.04435483870967743
4,informed,surrogate_spearman,25,-0.2569230769230769,-0.17333333333333328
4,generic,surrogate_spearman,7,-0.07142857142857144,-0.04761904761904762
4,informed,pren_spearman,25,0.014615384615384615,-0.01333333333333333
4,generic,fake_pren_spearman,7,-0.3214285714285715,-0.23809523809523814
5,all,surrogate_spearman,32,0.32661290322580644,0.22580645161290325
5,all,surrogate_mae,32,-0.3053519061583578,-0.17741935483870971
5,all,surrogate_rmse,32,-0.33724340175953077,-0.19758064516129034
5,informed,surrogate_spearman,26,0.3695726495726495,0.2553846153846154
5,generic,surrogate_spearman,6,0.14285714285714288,0.06666666666666665
5,informed,pren_spearman,26,0.09675213675213674,0.07076923076923078
5,generic,fake_pren_spearman,6,-0.5428571428571429,-0.4666666666666666
6,all,surrogate_spearman,32,-0.2107771260997067,-0.14516129032258066
6,all,surrogate_mae,32,0.2126099706744868,0.12903225806451615
6,all,surrogate_rmse,32,0.1414956011730205,0.09274193548387098
6,informed,surrogate_spearman,26,-0.2998290598290598,-0.20615384615384616
6,generic,surrogate_spearman,6,-0.4285714285714286,-0.2
