trial_number,trial_id,draw_index,model,mean_test_spearman,synthetic_seed,sampling_seed,schema_attempts,sample_type,surrogate_spearman,surrogate_mae,surrogate_rmse,pren_spearman,pren_mae,pren_rmse,fake_pren_spearman,fake_pren_mae,fake_pren_rmse
15,trial_0015,0,extra_trees,0.8100199921308772,15200000,15200000,1,informed,-0.211857785905895,0.9072736085373675,1.1777818557284596,0.4927761148997558,0.7674879732640455,1.0069093501345867,,,
15,trial_0015,1,extra_trees,0.8100199921308772,15200001,15200001,1,informed,0.0251455037666146,0.8234473458085538,1.0754520341742604,0.5210604493206493,0.7131357795142842,0.9844664095796185,,,
15,trial_0015,2,extra_trees,0.8100199921308772,15200002,15200002,1,informed,-0.3069309686319166,0.8621387260829046,1.170585755305935,0.5168962880843877,0.7260656349245355,1.0186053698337865,,,
15,trial_0015,3,extra_trees,0.8100199921308772,15200003,15200003,1,informed,0.4084773751465826,0.7106075976637442,0.9323025572657986,0.539025684989059,0.6934174235825582,0.9431264658441287,,,
15,trial_0015,4,extra_trees,0.8100199921308772,15200004,15200004,1,informed,0.23101120154811375,0.7429874492175055,0.9748229272280251,0.4780507207267764,0.777704146498166,1.0510773127695017,,,
15,trial_0015,5,extra_trees,0.8100199921308772,15200005,15200005,1,informed,0.43714528422448495,0.7061164175420952,0.9339725293423202,0.3936671693800824,0.8488686433284222,1.1677866611533432,,,
15,trial_0015,6,extra_trees,0.8100199921308772,15200006,15200006,1,informed,0.05055139507313462,0.7663945459096378,1.0098398290481911,0.36555839078545493,0.8925349741012326,1.1644046884600563,,,
15,trial_0015,7,extra_trees,0.8100199921308772,15200007,15200007,1,informed,0.16453264600605422,0.7653664444253416,0.9875162887246811,0.5470997494827438,0.7333610672257233,1.0121031367635491,,,
15,trial_0015,8,extra_trees,0.8100199921308772,15200008,15200008,1,informed,0.24903213208717237,0.7724041781722221,0.9999223810221725,0.5395878217429395,0.7103782519889266,0.9834025759248193,,,
15,trial_0015,9,extra_trees,0.8100199921308772,15200009,15200009,1,informed,-0.09982603706401592,0.8359176879344438,1.0701608703434125,0.3579939220462605,0.9178388864547766,1.1893019452260032,,,
15,trial_0015,10,extra_trees,0.8100199921308772,15200010,15200010,1,informed,0.31451453975386573,0.7311080767894083,0.9656074330257152,0.5478237190755366,0.7093453754781208,0.9555086267329749,,,
15,trial_0015,11,extra_trees,0.8100199921308772,15200011,15200011,1,informed,0.014904885074293963,0.7625973684191859,1.0047429550994396,0.5347550202493511,0.722045598024093,0.9500308083356247,,,
15,trial_0015,12,extra_trees,0.8100199921308772,15200012,15200012,1,informed,0.3067559675362594,0.7357146153656635,0.9651639495145606,0.5013808516882691,0.7244806547699978,0.9722028026628201,,,
15,trial_0015,13,extra_trees,0.8100199921308772,15200013,15200013,1,informed,0.46946415780044487,0.6982334029031672,0.9086314945499878,0.3258290302383108,0.9160658174377264,1.2146430543813167,,,
15,trial_0015,14,extra_trees,0.8100199921308772,15200014,15200014,1,informed,0.288978090938383,0.7342886394266708,0.9707410217258037,0.5313422609122757,0.744494069445272,1.002457582245023,,,
15,trial_0015,15,extra_trees,0.8100199921308772,15200015,15200015,1,informed,0.289092985418633,0.7464151556232796,0.9599495010156347,0.48091749925723437,0.8022836757406601,1.0694920370466268,,,
15,trial_0015,16,extra_trees,0.8100199921308772,15200016,15200016,1,informed,-0.04376052905560523,0.8002859238982778,1.0396450373753794,0.3558107915820083,0.9037842082193862,1.2075765711871322,,,
15,trial_0015,17,extra_trees,0.8100199921308772,15200017,15200017,1,informed,0.3474552950900195,0.7267202456094944,0.966678441661193,0.4085382814496534,0.8556095445796905,1.1576916007818001,,,
15,trial_0015,18,extra_trees,0.8100199921308772,15200018,15200018,1,informed,-0.2009834819118695,0.8034052140022719,1.0787332724660033,0.40157326396182524,0.8392586564617722,1.146438051622994,,,
15,trial_0015,19,extra_trees,0.8100199921308772,15200019,15200019,1,informed,-0.0941538952762471,0.8135183948757602,1.0576992624233992,0.22341844877517317,0.9913619781121105,1.2897381473509744,,,
15,trial_0015,20,extra_trees,0.8100199921308772,15200020,15200020,1,informed,0.2298350477191538,0.781159237262721,0.9702847226238647,0.5049511520136303,0.7847055646984679,1.0509581500126288,,,
15,trial_0015,21,extra_trees,0.8100199921308772,15200021,15200021,1,informed,0.2713470612278893,0.7391130403671202,0.9310619222464155,0.4794393667658078,0.7761700649129583,1.0477752913517546,,,
15,trial_0015,22,extra_trees,0.8100199921308772,15200022,15200022,1,informed,0.48037079335487576,0.6937951461598522,0.9131424282178945,0.43212171360799767,0.8428995738079261,1.0913767012901507,,,
15,trial_0015,23,extra_trees,0.8100199921308772,15200023,15200023,1,informed,0.12152670426243624,0.769816486020625,0.9967980890220338,0.5394577814026176,0.7370728050203013,0.9928431580597656,,,
15,trial_0015,24,extra_trees,0.8100199921308772,15200024,15200024,1,informed,0.10311082736200075,0.7650332788797644,0.9997128724263123,0.5198886237481437,0.7035323747075627,0.9498570145594873,,,
15,trial_0015,25,extra_trees,0.8100199921308772,15200025,15200025,1,informed,0.11521017677638981,0.7756650534334583,0.9968834971107838,0.45928207522404024,0.8074088738604135,1.0851330713564398,,,
15,trial_0015,26,extra_trees,0.8100199921308772,15200026,15200026,1,informed,0.40510500912444103,0.7841537695646743,1.0259788966557373,0.5392463325835319,0.681764631066778,0.9500968492940396,,,
15,trial_0015,27,extra_trees,0.8100199921308772,15200027,15200027,1,informed,0.27216655930532085,0.7370585832329569,0.9594652854848706,0.45943457260442405,0.8349401884546601,1.0986885697932431,,,
15,trial_0015,28,extra_trees,0.8100199921308772,15200028,15200028,1,informed,0.24117022924726408,0.749603345464015,0.9653696295127308,0.5108171687064633,0.7334824079448421,0.9973514548305201,,,
15,trial_0015,29,extra_trees,0.8100199921308772,15200029,15200029,1,informed,0.13583529262514002,0.7661068719787917,0.9913263467815813,0.4820614414689814,0.8027753730894255,1.0553816294405707,,,
15,trial_0015,30,extra_trees,0.8100199921308772,15200030,15200030,1,informed,0.17656051861717056,0.7731006386794456,1.0024862819595608,0.48518630510622496,0.7737966225377483,1.056906801002013,,,
15,trial_0015,31,extra_trees,0.8100199921308772,15200031,15200031,1,informed,0.5710896405485709,0.6540075717156667,0.8718441858363082,0.4126209932022091,0.9000387880847286,1.1562606101967792,,,
15,trial_0015,32,extra_trees,0.8100199921308772,15200032,15200032,1,informed,0.4519137450373198,0.7148647214144782,0.9462710043346458,0.5048150839467914,0.7787633510660316,1.0169388507049946,,,
15,trial_0015,33,extra_trees,0.8100199921308772,15200033,15200033,1,informed,0.46384536181592545,0.6966295204284048,0.9172538939424824,0.40420460578195694,0.8774711375542974,1.1183946594881202,,,
15,trial_0015,34,extra_trees,0.8100199921308772,15200034,15200034,1,informed,0.09885440255478838,0.7811856244613493,1.0002047038448068,0.5112336285686946,0.7592591901169313,1.0024861616563032,,,
15,trial_0015,35,extra_trees,0.8100199921308772,15200035,15200035,1,informed,0.0957699621222106,0.7801628239721814,1.0039607463743385,0.47160015124494314,0.809682610564006,1.0434312206535041,,,
15,trial_0015,36,extra_trees,0.8100199921308772,15200036,15200036,1,informed,-0.012050449286746322,0.8198854650751041,1.0202468998645107,0.4904143805751938,0.8003715008676537,1.0528350456434143,,,
15,trial_0015,37,extra_trees,0.8100199921308772,15200037,15200037,1,informed,0.3524229463020503,0.778222933802996,1.01445462673762,0.3959530855663466,0.9000521045983398,1.1621903903928439,,,
15,trial_0015,38,extra_trees,0.8100199921308772,15200038,15200038,1,informed,-0.07974900759757222,0.773843310633995,1.019780098960027,0.5462798419933018,0.695592093702866,0.9470130351202979,,,
15,trial_0015,39,extra_trees,0.8100199921308772,15200039,15200039,1,informed,0.32504374308871986,0.7319719912807793,0.9505276202208989,0.5561199346782452,0.6679931711088826,0.9064436533516049,,,
15,trial_0015,40,extra_trees,0.8100199921308772,15200040,15200040,1,informed,-0.05828134301302059,0.8010207536511288,1.070190028262008,0.5143135781258144,0.7549149781954808,1.0124133409632428,,,
15,trial_0015,41,extra_trees,0.8100199921308772,15200041,15200041,1,informed,0.19413443952985357,0.742294690965969,0.9685912340665488,0.5211971051249943,0.7274066472566314,1.0007825838159052,,,
15,trial_0015,42,extra_trees,0.8100199921308772,15200042,15200042,1,informed,0.26195266691412394,0.7527766685931877,0.9724950361404593,0.5153235845277219,0.7601337103330644,1.0066064055239041,,,
15,trial_0015,43,extra_trees,0.8100199921308772,15200043,15200043,1,informed,0.19424408334556093,0.7561350415123695,0.9826355145533017,0.4105856172133488,0.848490106303088,1.1371506933802176,,,
15,trial_0015,44,extra_trees,0.8100199921308772,15200044,15200044,1,informed,0.3643441500024016,0.7694448454445104,0.9837089894579314,0.17424190490012742,1.0258438112360388,1.3111903675888916,,,
15,trial_0015,45,extra_trees,0.8100199921308772,15200045,15200045,1,informed,0.40901315929621856,0.7161017092437703,0.9360168652627961,0.5448726343837264,0.7225357029726078,0.9605990008097608,,,
15,trial_0015,46,extra_trees,0.8100199921308772,15200046,15200046,1,informed,0.15717437418949318,0.758676003981815,0.9802069990973381,0.283503715136233,0.9488580590193927,1.2277253892869295,,,
15,trial_0015,47,extra_trees,0.8100199921308772,15200047,15200047,1,informed,0.3018149795343929,0.8313223791893041,1.0031807025238202,0.4601320530044962,0.8155370557777417,1.0636826317058063,,,
15,trial_0015,48,extra_trees,0.8100199921308772,15200048,15200048,1,informed,0.26964084914451036,0.75816329105985,0.9985824718662533,0.5176438901922548,0.7206751055403868,0.9744867819348232,,,
15,trial_0015,49,extra_trees,0.8100199921308772,15200049,15200049,1,informed,0.18536338324751508,0.7550496690715878,0.9755205771538422,0.5354509697982444,0.7289659521232856,0.9996129462256312,,,
15,trial_0015,50,extra_trees,0.8100199921308772,15200050,15200050,1,informed,0.22140416983421868,0.7810837485105562,0.9638085076982859,0.5311248937131859,0.7242481658456924,0.98752587570515,,,
15,trial_0015,51,extra_trees,0.8100199921308772,15200051,15200051,1,informed,0.37759455760121974,0.7112136743210024,0.9266463569628277,0.5281084881483046,0.707068671780709,0.9845077626539179,,,
15,trial_0015,52,extra_trees,0.8100199921308772,15200052,15200052,1,informed,0.42935831886752945,0.7012520310186677,0.9256517910860229,0.47207656033280526,0.7739588619789117,1.0701766849920311,,,
15,trial_0015,53,extra_trees,0.8100199921308772,15200053,15200053,1,informed,0.47372815934324547,0.7194023281843551,0.9433965108681183,0.5358887658987815,0.7476008754693761,0.9852651257592256,,,
15,trial_0015,54,extra_trees,0.8100199921308772,15200054,15200054,1,informed,-0.10661206133317366,0.780729851252345,1.0174457865646795,0.20088999177211656,0.9805706635307622,1.292215492187985,,,
15,trial_0015,55,extra_trees,0.8100199921308772,15200055,15200055,1,informed,0.42657258248036545,0.7083349883783028,0.9251856323385578,0.4214143527252654,0.8802970494529702,1.1498799503314785,,,
15,trial_0015,56,extra_trees,0.8100199921308772,15200056,15200056,1,informed,0.07846554102970928,0.7600254408555059,1.0131370839034395,0.43918484225441634,0.8369898709011637,1.0919186689183507,,,
15,trial_0015,57,extra_trees,0.8100199921308772,15200057,15200057,1,informed,0.19195914096114494,0.7589038577779335,0.981320224631847,0.5563185899553356,0.7023244434373168,0.9539573410607521,,,
15,trial_0015,58,extra_trees,0.8100199921308772,15200058,15200058,1,informed,0.2977751715158518,0.7254831911376417,0.9469218409653872,0.5482652602941364,0.7186880369372518,0.9747205135499623,,,
15,trial_0015,59,extra_trees,0.8100199921308772,15200059,15200059,1,informed,0.21487607327234898,0.7417575856465399,0.9755765250949482,0.5637223056524313,0.6929111891599808,0.9281393126615483,,,
