draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
0,all,surrogate_spearman,32,0.09640762463343108,0.06451612903225808
0,all,surrogate_mae,32,-0.05718475073313783,-0.040322580645161296
0,all,surrogate_rmse,32,-0.044721407624633426,-0.03225806451612904
0,informed,surrogate_spearman,25,-0.0015384615384615385,0.0
0,generic,surrogate_spearman,7,-0.3214285714285715,-0.23809523809523814
0,informed,pren_spearman,25,-0.39307692307692305,-0.2666666666666666
0,generic,fake_pren_spearman,7,0.3571428571428572,0.14285714285714288
1,all,surrogate_spearman,32,-0.0157624633431085,0.020161290322580648
1,all,surrogate_mae,32,-0.1730205278592375,-0.09274193548387098
1,all,surrogate_rmse,32,-0.09860703812316715,-0.048387096774193554
1,informed,surrogate_spearman,28,-0.03393541324575808,0.015873015873015872
1,generic,surrogate_spearman,4,-0.19999999999999998,0.0
1,informed,pren_spearman,28,-0.2796934865900383,-0.20634920634920634
1,generic,fake_pren_spearman,4,0.7999999999999999,0.6666666666666669
2,all,surrogate_spearman,32,-0.21590909090909088,-0.14919354838709678
2,all,surrogate_mae,32,0.09677419354838708,0.024193548387096777
2,all,surrogate_rmse,32,0.10117302052785922,0.028225806451612906
2,informed,surrogate_spearman,25,-0.1392307692307692,-0.07999999999999997
2,generic,surrogate_spearman,7,-0.42857142857142866,-0.33333333333333337
2,informed,pren_spearman,25,0.17307692307692307,0.09333333333333331
2,generic,fake_pren_spearman,7,0.07142857142857144,-0.04761904761904762
3,all,surrogate_spearman,32,0.11693548387096771,0.07661290322580645
3,all,surrogate_mae,32,-0.32184750733137824,-0.217741935483871
3,all,surrogate_rmse,32,-0.313782991202346,-0.217741935483871
3,informed,surrogate_spearman,24,-0.16347826086956518,-0.12318840579710144
3,generic,surrogate_spearman,8,0.2380952380952381,0.21428571428571427
3,informed,pren_spearman,24,-0.2026086956521739,-0.15217391304347824
3,generic,fake_pren_spearman,8,0.2142857142857143,0.07142857142857142
4,all,surrogate_spearman,32,-0.17925219941348972,-0.12500000000000003
4,all,surrogate_mae,32,0.007697947214076245,0.00806451612903226
4,all,surrogate_rmse,32,0.06598240469208211,0.040322580645161296
4,informed,surrogate_spearman,25,-0.2169230769230769,-0.13999999999999996
4,generic,surrogate_spearman,7,-0.3214285714285715,-0.23809523809523814
4,informed,pren_spearman,25,0.014615384615384615,-0.01333333333333333
4,generic,fake_pren_spearman,7,-0.3214285714285715,-0.23809523809523814
5,all,surrogate_spearman,32,0.16202346041055718,0.11693548387096775
5,all,surrogate_mae,32,-0.2529325513196481,-0.14516129032258066
5,all,surrogate_rmse,32,-0.2969208211143695,-0.17741935483870971
5,informed,surrogate_spearman,26,0.1234188034188034,0.07076923076923078
5,generic,surrogate_spearman,6,0.3142857142857143,0.2
5,informed,pren_spearman,26,0.09675213675213674,0.07076923076923078
5,generic,fake_pren_spearman,6,-0.5428571428571429,-0.4666666666666666
6,all,surrogate_spearman,32,-0.1946480938416422,-0.12500000000000003
6,all,surrogate_mae,32,0.11876832844574779,0.08064516129032259
6,all,surrogate_rmse,32,0.1315982404692082,0.10483870967741937
6,informed,surrogate_spearman,26,-0.3524786324786324,-0.2123076923076923
6,generic,surrogate_spearman,6,-0.14285714285714288,-0.06666666666666665
6,informed,pren_spearman,26,-0.34017094017094013,-0.20615384615384616
6,generic,fake_pren_spearman,6,0.028571428571428574,0.06666666666666665
7,all,surrogate_spearman,32,-0.18878299120234604,-0.13306451612903228
7,all,surrogate_mae,32,0.07038123167155425,0.08064516129032259
7,all,surrogate_rmse,32,0.010263929618768328,0.020161290322580648
7,informed,surrogate_spearman,28,-0.30596606458675424,-0.21164021164021166
7,generic,surrogate_spearman,4,0.39999999999999997,0.3333333333333334
7,informed,pren_spearman,28,0.24575807334428024,0.19047619047619047
7,generic,fake_pren_spearman,4,-0.7999999999999999,-0.6666666666666669
8,all,surrogate_spearman,32,-0.013563049853372432,-0.012096774193548388
