trial_number,trial_id,trial_result_path,mean_test_spearman,median_test_spearman,std_test_spearman,mean_test_mae,mean_test_rmse,mean_test_r2,model,n_synth_requested,n_informed_sampled,n_generic_sampled,informed_sample_fraction,elapsed_seconds,epit_environment_coef,epit_interaction_coef,epit_material_coef,informed_feature_block_strength,informed_interaction_strength,informed_physical_marginal_prob,informed_prior_ratio,mlp_prob,pitting_material_dirichlet_active_prob,pitting_material_dirichlet_concentration,pitting_material_dirichlet_prob
0,trial_0000,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0000/trial_result.json,0.8015491174198965,0.8110908644277176,0.0152541922025307,166.92513041210435,245.39686991383743,0.6683127275353488,hist_gradient_boosting,256,256,0,1.0,190.45471620559692,0.4507411074452459,0.8995975722395816,0.48837361667407403,0.4599753167366806,0.960498182133549,0.0,1.0,0.75,0.35,1.0,0.0
1,trial_0001,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0001/trial_result.json,0.7437780922876497,0.7428872366010032,0.0343758948572248,187.48589581181315,279.58861674533307,0.5693610548856324,hist_gradient_boosting,256,129,127,0.50390625,181.97487092018127,0.49336365641992164,0.621038162883652,0.5043487963218568,0.2079018052437427,0.38705799516679407,0.75,0.5,0.5,0.35,1.0,1.0
2,trial_0002,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0002/trial_result.json,0.7283295796511096,0.7503956274382345,0.0347225055025864,194.3209980891837,283.1738945820004,0.5587052612393603,hist_gradient_boosting,256,63,193,0.24609375,182.51983761787415,0.46567984704903964,0.8532391464658395,0.6315388007572977,0.38866611552654123,0.8277135087021732,0.75,0.25,0.5,0.5,5.0,0.5
3,trial_0003,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0003/trial_result.json,0.7414611962318451,0.7344078186229829,0.0220959730842623,201.68608002171567,287.38480197749664,0.5453665537750723,hist_gradient_boosting,256,183,73,0.71484375,171.11491751670837,0.5889461815579344,0.6308327393833736,0.6078076123667102,0.5876984702600515,0.8355507398298841,1.0,0.75,0.25,0.9,5.0,1.0
4,trial_0004,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0004/trial_result.json,0.7325576274468355,0.7269306762320874,0.0395550735415451,224.0020015526154,316.8473862334623,0.4479450558906984,hist_gradient_boosting,256,145,111,0.56640625,167.44178867340088,0.5947866273096853,0.7427730329812273,0.6338973417488323,0.13317049702731362,0.4535082965797643,0.25,0.5,0.0,0.35,2.0,0.0
5,trial_0005,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0005/trial_result.json,0.7352893855196443,0.7532649649800395,0.0308700809651796,190.26901830777476,280.8246536862123,0.5661075139666107,hist_gradient_boosting,256,134,122,0.5234375,193.21034741401672,0.3574730130252587,0.9496852261778461,0.6352686569157895,0.7900865899338698,0.16461377938185884,1.0,0.5,1.0,0.2,2.0,1.0
6,trial_0006,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0006/trial_result.json,0.7161355391866588,0.7125034828280385,0.03053017111434,195.63631132514988,286.00126483071614,0.5505576710422065,hist_gradient_boosting,256,194,62,0.7578125,175.48336005210876,0.5848315825663286,0.6879215092931443,0.5268376679259499,0.8825575166684463,0.1467221520882821,0.5,0.75,0.5,0.35,1.0,1.0
7,trial_0007,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0007/trial_result.json,0.7559494914137964,0.7624646414527559,0.0274679636535857,182.63102900658245,268.06084102816504,0.6047661059126581,hist_gradient_boosting,256,65,191,0.25390625,196.0458960533142,0.5154808951717904,0.8835154400629761,0.5424259401919883,0.8695554433868774,0.23142897000080764,0.5,0.25,0.75,0.5,0.25,0.5
8,trial_0008,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0008/trial_result.json,0.7860120435657661,0.7954442268445708,0.017588924984628,170.51669829933715,255.05993524366764,0.6416193755687328,hist_gradient_boosting,256,256,0,1.0,194.97157073020935,0.4926324074606964,0.8369520060760702,0.4724336109195643,0.45437977398629475,0.330641228075501,0.5,1.0,0.75,0.35,0.25,0.0
9,trial_0009,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0009/trial_result.json,0.6643781024004898,0.6659466970721368,0.0291286691690112,221.3655706577111,312.790587849466,0.4618074167852465,hist_gradient_boosting,256,191,65,0.74609375,160.1279969215393,0.5271285433851703,0.6731116410285223,0.5224999549969923,0.650512833099686,0.9136416359833509,0.75,0.75,0.0,0.9,0.5,1.0
