trial_number,trial_id,trial_result_path,mean_test_spearman,median_test_spearman,std_test_spearman,mean_test_mae,mean_test_rmse,mean_test_r2,n_synth_requested,n_informed_sampled,n_generic_sampled,informed_sample_fraction,elapsed_seconds,epit_environment_coef,epit_interaction_coef,epit_material_coef,informed_feature_block_strength,informed_interaction_strength,informed_physical_marginal_prob,informed_prior_ratio,mlp_prob,pitting_material_dirichlet_active_prob,pitting_material_dirichlet_concentration,pitting_material_dirichlet_prob,all_score_n,all_score_spearman,all_score_mae,all_score_rmse,all_score_median_theta_spearman,all_score_max_theta_spearman,informed_score_n,informed_score_spearman,informed_score_mae,informed_score_rmse,informed_score_median_theta_spearman,informed_score_max_theta_spearman,generic_score_n,generic_score_spearman,generic_score_mae,generic_score_rmse,generic_score_median_theta_spearman,generic_score_max_theta_spearman,pren_score_n,pren_score_spearman,pren_score_mae,pren_score_rmse,pren_score_median_theta_spearman,pren_score_max_theta_spearman,fake_pren_score_n,fake_pren_score_spearman,fake_pren_score_mae,fake_pren_score_rmse,fake_pren_score_median_theta_spearman,fake_pren_score_max_theta_spearman
0,trial_0000,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0000/trial_result.json,0.8015491174198965,0.8110908644277176,0.0152541922025307,166.92513041210435,245.39686991383743,0.6683127275353488,256,256,0,1.0,45.669760942459106,0.4507411074452459,0.8995975722395816,0.48837361667407403,0.4599753167366806,0.960498182133549,0.0,1.0,0.75,0.35,1.0,0.0,256,0.43307326063051077,0.7423878326424289,1.0226614221402004,0.3625531659015052,0.5641353484361382,256,0.43307326063051077,0.7423878326424289,1.0226614221402004,0.3625531659015052,0.5641353484361382,0,,,,,,256,0.47892178871588453,0.7960013219963997,1.0746261784428688,0.46683858900443,0.5917294740000594,0,,,,,
1,trial_0001,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0001/trial_result.json,0.7437780922876497,0.7428872366010032,0.0343758948572248,187.48589581181315,279.58861674533307,0.5693610548856324,256,129,127,0.50390625,35.13877558708191,0.49336365641992164,0.621038162883652,0.5043487963218568,0.2079018052437427,0.38705799516679407,0.75,0.5,0.5,0.35,1.0,1.0,256,0.5057818984761514,0.7321214108166071,0.9670724754195759,0.144155799646611,0.5929376436197498,129,0.5034490999725333,0.7247584253721614,0.9883183597861321,0.4073147759815458,0.5929376436197498,127,-0.012203029821145748,0.7585868095449253,1.0044486046013879,0.00889491509679938,0.5074308302205379,129,0.500034960135734,0.776298829885896,1.0526731057239032,0.47775076957391066,0.6018010395842407,127,0.49541321108012243,0.7870261704942229,1.0588141461709382,0.47627859646743054,0.5844343530584668
2,trial_0002,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0002/trial_result.json,0.7283295796511096,0.7503956274382345,0.0347225055025864,194.3209980891837,283.1738945820004,0.5587052612393603,256,63,193,0.24609375,33.34771394729614,0.46567984704903964,0.8532391464658395,0.6315388007572977,0.38866611552654123,0.8277135087021732,0.75,0.25,0.5,0.5,5.0,0.5,256,0.3535248070541736,0.745941780870795,0.9834501690075534,0.07685187289301904,0.5991592004988824,63,0.49182221692721784,0.7276071890208258,1.0004712633748138,0.36992488407529905,0.5991592004988824,193,-0.18325711482929732,0.762540063378854,1.0096267564744938,-0.008025118260902273,0.45669339221220634,63,0.4856629055504845,0.7919059973345447,1.0665542581626306,0.4785129831095477,0.5893369586321502,193,0.47626054062450796,0.7997031568577352,1.0723196080361792,0.470917555638923,0.5815101676088001
3,trial_0003,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0003/trial_result.json,0.7414611962318451,0.7344078186229829,0.0220959730842623,201.68608002171567,287.38480197749664,0.5453665537750723,256,183,73,0.71484375,26.657536268234253,0.5889461815579344,0.6308327393833736,0.6078076123667102,0.5876984702600515,0.8355507398298841,1.0,0.75,0.25,0.9,5.0,1.0,256,0.31857052671018493,0.7707004802581124,1.0171762065005785,0.19715359409384475,0.580679831195702,183,0.29982787834086194,0.8042202102666559,1.0728110892952172,0.24063582263774796,0.580679831195702,73,0.399778327286251,0.7461019080054613,0.9824822652283035,0.04788774487049528,0.44472106986470933,183,0.498446934398965,0.7801325209175307,1.0525267532226643,0.4802684730306372,0.5920674504027438,73,0.50496402756551,0.7716117947703849,1.045660286442228,0.48753372870592704,0.5967665894527746
4,trial_0004,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0004/trial_result.json,0.7325576274468355,0.7269306762320874,0.0395550735415451,224.0020015526154,316.8473862334623,0.4479450558906984,256,145,111,0.56640625,16.385537147521973,0.5947866273096853,0.7427730329812273,0.6338973417488323,0.13317049702731362,0.4535082965797643,0.25,0.5,0.0,0.35,2.0,0.0,256,0.5279476667646356,0.7245047143487341,0.9872007186817854,0.3463766888306978,0.5925470168711624,145,0.5192926442485581,0.7489793194250993,1.0966431389580242,0.4533695589266481,0.5925470168711624,111,0.23226812175231046,0.7541324516292596,0.993317768382641,0.03325060700164225,0.4189581430136627,145,0.4852863161604751,0.7902468894499967,1.0629765069128045,0.47561456243195444,0.5945652117892022,111,0.5005217981472524,0.7796449190370809,1.0543394203821443,0.48823164649205036,0.5765857610741314
5,trial_0005,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0005/trial_result.json,0.7352893855196443,0.7532649649800395,0.0308700809651796,190.26901830777476,280.8246536862123,0.5661075139666107,256,134,122,0.5234375,57.24335193634033,0.3574730130252587,0.9496852261778461,0.6352686569157895,0.7900865899338698,0.16461377938185884,1.0,0.5,1.0,0.2,2.0,1.0,256,0.1773161821068968,0.7589654668230821,0.9969509014826156,0.03830254574099595,0.5154786515511559,134,0.2070135058342291,0.7718539639128535,1.013046077535592,0.13611619297276556,0.5154786515511559,122,-0.027942189182409368,0.7579518163385653,1.0001343074059825,-0.015140869916595693,0.40497880642905726,134,0.4887478987155062,0.7880633600777709,1.0610318035610706,0.47482787577992613,0.5836955260082503,122,0.5071863040813369,0.7671469409533042,1.0385346157614852,0.49685894966713834,0.5898093629039818
6,trial_0006,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0006/trial_result.json,0.7161355391866588,0.7125034828280385,0.03053017111434,195.63631132514988,286.00126483071614,0.5505576710422065,256,194,62,0.7578125,36.61818766593933,0.5848315825663286,0.6879215092931443,0.5268376679259499,0.8825575166684463,0.1467221520882821,0.5,0.75,0.5,0.35,1.0,1.0,256,0.32993768445102317,0.7481413596182844,0.9744510597176088,0.09884531791152129,0.5046906339469354,194,0.31206108779953456,0.7579596002524454,0.9824276777417512,0.12437878793965915,0.5046906339469354,62,0.08141219654507735,0.7580250919440248,0.9972605207305705,0.03437046564394984,0.3337792598062739,194,0.475993270410649,0.801422140593688,1.0788173425267236,0.4675478719937252,0.5703940147880451,62,0.49852664800678065,0.7806189075700501,1.0599310329592806,0.4792622664200488,0.5710367399218433
7,trial_0007,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0007/trial_result.json,0.7559494914137964,0.7624646414527559,0.0274679636535857,182.63102900658245,268.06084102816504,0.6047661059126581,256,65,191,0.25390625,48.55285143852234,0.5154808951717904,0.8835154400629761,0.5424259401919883,0.8695554433868774,0.23142897000080764,0.5,0.25,0.75,0.5,0.25,0.5,256,-0.0007501034093468699,0.764145611957574,1.003681963525354,0.0025892844176541667,0.531705646710867,65,0.060453668430924895,0.8139254000417067,1.034963147087803,0.018044703246571505,0.4641132911931934,191,-0.2044629437504126,0.7603123303296971,1.006510051687556,0.0013765222444270839,0.531705646710867,65,0.4721631080976695,0.7986830236969034,1.0763720240682126,0.467309927147762,0.5609187157380453,191,0.4924065646915065,0.7858516626664859,1.0616657978858401,0.4731783357955621,0.5968279738513855
8,trial_0008,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0008/trial_result.json,0.7860120435657661,0.7954442268445708,0.017588924984628,170.51669829933715,255.05993524366764,0.6416193755687328,256,256,0,1.0,50.04514741897583,0.4926324074606964,0.8369520060760702,0.4724336109195643,0.45437977398629475,0.330641228075501,0.5,1.0,0.75,0.35,0.25,0.0,256,0.49241369955146536,0.7242765594665412,0.9713303430667783,0.27709847661810355,0.6073555553987958,256,0.49241369955146536,0.7242765594665412,0.9713303430667783,0.27709847661810355,0.6073555553987958,0,,,,,,256,0.49309881012727946,0.7854876656266483,1.0629797327144996,0.47133728906238054,0.597212723224911,0,,,,,
9,trial_0009,/home/fcolanto/projects/tabicl/corrosion_datasets/analysis/pitting_fixed_pren_direct_trial_results/trial_0009/trial_result.json,0.6643781024004898,0.6659466970721368,0.0291286691690112,221.3655706577111,312.790587849466,0.4618074167852465,256,191,65,0.74609375,17.069873332977295,0.5271285433851703,0.6731116410285223,0.5224999549969923,0.650512833099686,0.9136416359833509,0.75,0.75,0.0,0.9,0.5,1.0,256,0.3427590824702457,0.7650617248867589,1.0110858895076253,0.21372310353652058,0.5460065850578683,191,0.34585491460834666,0.7881168052557335,1.0530193601202964,0.2714462801968519,0.5460065850578683,65,0.14697465706784374,0.7546369362428067,0.9979143307228809,0.019397360614584667,0.3551894163548299,191,0.5015325563064352,0.7755889266752208,1.054025643747284,0.47192819078327886,0.5833354206050422,65,0.48851314542088475,0.7866756515457413,1.0596823486210567,0.47660935600027166,0.5796858440579166
