trial_number,trial_id,synthetic_seed,sampling_seed,schema_attempts,sample_type,ridge_spearman,ridge_mae,ridge_rmse
30,trial_0030,30200000,30200000,1,informed,0.4721914561811074,0.747012463829073,1.070758504301015
30,trial_0030,30200001,30200001,1,informed,0.39611192504447157,0.7761719548161757,1.095744531401399
30,trial_0030,30200002,30200002,1,generic,-0.3301128165595521,0.7820045697873516,1.0375220283780857
30,trial_0030,30200003,30200003,1,informed,0.27180943363410365,0.795883748595997,1.020397830735978
30,trial_0030,30200004,30200004,1,informed,0.2366358725270516,0.7777714158704019,1.047781150190949
30,trial_0030,30200005,30200005,1,generic,-0.06565066215363642,0.7848687468598715,1.0605204289835481
30,trial_0030,30200006,30200006,1,informed,-0.06757378027881537,0.8001898834391092,1.062969441661564
30,trial_0030,30200007,30200007,1,informed,0.23478805314423482,0.7945518657979139,1.0702517519901114
30,trial_0030,30200008,30200008,1,generic,0.5533519233854544,0.8610717872308555,1.483570248099558
30,trial_0030,30200009,30200009,1,informed,0.012843226316836062,1.0191785885139482,1.3926156840296429
30,trial_0030,30200010,30200010,1,informed,0.20695253148504092,0.962820556156414,1.3378682643966846
30,trial_0030,30200011,30200011,1,informed,0.11279241777732814,1.13614499585525,2.113812168222879
30,trial_0030,30200012,30200012,1,generic,-0.13415126347476292,0.8073240180740348,1.0440116451230537
30,trial_0030,30200013,30200013,1,informed,0.5545424882165874,0.6773217571827643,0.9484129862411358
30,trial_0030,30200014,30200014,1,informed,0.08637097888970077,0.8883096509451311,1.1488974998834083
30,trial_0030,30200015,30200015,1,generic,0.009988967962091231,0.7875108791024569,1.0016954941489953
30,trial_0030,30200016,30200016,1,informed,0.31739559843037923,0.8306904465641584,1.286878942192724
30,trial_0030,30200017,30200017,1,informed,0.43919052827308086,1.1844482817055095,2.5512721217400736
30,trial_0030,30200018,30200018,1,informed,-0.311553856663383,1.6413829241248377,2.6847795858747623
30,trial_0030,30200019,30200019,1,informed,0.43818318719242244,0.7447055741074292,1.0531994722528917
30,trial_0030,30200020,30200020,1,generic,0.4187293354356735,0.7110358239727367,0.9449192938793858
30,trial_0030,30200021,30200021,1,informed,-0.1287495730801299,0.8355097628801792,1.1090956183529244
30,trial_0030,30200022,30200022,1,informed,-0.1535348054237952,2.078523773346878,3.3193132323552152
30,trial_0030,30200023,30200023,1,informed,0.4292591039133394,0.7579437066318238,1.0225868069745574
30,trial_0030,30200024,30200024,1,informed,0.47282518756422964,0.7655606160922598,1.1565175960533782
30,trial_0030,30200025,30200025,1,generic,0.4365685219114777,0.7034586174287653,0.9196294106761621
30,trial_0030,30200026,30200026,1,informed,0.38522479849473124,0.7525631812433705,1.0612882511744157
30,trial_0030,30200027,30200027,1,informed,0.036712244229929726,0.9356182485065673,1.394815092708022
30,trial_0030,30200028,30200028,1,informed,-0.02590209762518555,1.5723174548550303,2.321705574767703
30,trial_0030,30200029,30200029,1,informed,-0.21486998443579858,1.5027702777323342,2.535909048265046
30,trial_0030,30200030,30200030,1,informed,0.254836736262185,0.8464872418657472,1.2371321328412594
30,trial_0030,30200031,30200031,1,generic,0.23286481200422898,0.7995263752124141,1.1062684470771664
30,trial_0030,30200032,30200032,1,informed,0.5191456551987557,0.7369240292843346,1.0747457694269698
30,trial_0030,30200033,30200033,1,informed,0.4808329607345424,0.7478397993080118,1.0672619817794249
30,trial_0030,30200034,30200034,1,informed,0.2724288816289942,0.9689351532619765,1.491294316961463
30,trial_0030,30200035,30200035,1,informed,0.34927934668566124,0.8564565085795331,1.2591650555466731
30,trial_0030,30200036,30200036,1,generic,-0.41969758513801364,0.8110463295742922,1.0778431325728421
30,trial_0030,30200037,30200037,1,generic,-0.20430969461275345,0.9571565528978075,1.2441632509589118
30,trial_0030,30200038,30200038,1,generic,-0.2883007466518287,0.777690482163101,1.027735531786698
30,trial_0030,30200039,30200039,1,generic,0.06623379343797042,0.7505636772651425,0.9937660139125685
30,trial_0030,30200040,30200040,1,informed,-0.1573914705978093,0.7909532526545026,1.0666742508007236
30,trial_0030,30200041,30200041,1,informed,0.3266835458990471,0.8130571346943801,1.1653481600145927
30,trial_0030,30200042,30200042,1,informed,0.4074556826315751,0.7651853096632656,1.084930288333986
30,trial_0030,30200043,30200043,1,informed,-0.0006214162321205944,0.8596541456077842,1.0872591211897775
30,trial_0030,30200044,30200044,1,informed,-0.24974318434056197,1.0672822855426174,1.4663321045800732
30,trial_0030,30200045,30200045,1,informed,0.3799657779626461,0.786086276302205,1.1276577428618633
30,trial_0030,30200046,30200046,1,generic,-0.023118094404900955,0.813866870377848,1.1064481253187497
30,trial_0030,30200047,30200047,1,informed,0.3612499604938961,0.7932067069105214,1.1571224363463133
30,trial_0030,30200048,30200048,1,informed,0.04797043817078408,0.9438726413654451,1.3219209138258465
30,trial_0030,30200049,30200049,1,informed,-0.12253583447666098,1.3137292881641855,1.7947494090812948
30,trial_0030,30200050,30200050,1,informed,0.30930234362370185,0.7646250352798063,1.0177342423716262
30,trial_0030,30200051,30200051,1,informed,0.1437812878403444,0.9797123915207699,1.460097031144619
30,trial_0030,30200052,30200052,1,informed,-0.2518471479295626,1.1473001466856885,1.8969449115274284
30,trial_0030,30200053,30200053,1,informed,-0.3275603955850184,1.1923480737757892,1.5497062004537905
30,trial_0030,30200054,30200054,1,informed,-0.19977949592496563,1.122426989056891,1.654672535925525
30,trial_0030,30200055,30200055,1,informed,0.47183386574769326,0.7769448894757641,1.1481662433550375
30,trial_0030,30200056,30200056,1,informed,0.5646820946683452,0.659484433039356,0.9646282223712652
30,trial_0030,30200057,30200057,1,generic,-0.3967692616060398,1.3155306232845985,1.8012924015836698
30,trial_0030,30200058,30200058,1,informed,-0.3332850682417711,1.0192103496018734,1.4151753912448892
30,trial_0030,30200059,30200059,1,informed,0.10602002784007349,0.9504926412021845,1.346492596021703
30,trial_0030,30200060,30200060,1,informed,0.3155495285917669,0.7821346881045792,1.0583819280399278
30,trial_0030,30200061,30200061,1,informed,0.28929846523936265,1.3487403400837932,2.401962509522552
30,trial_0030,30200062,30200062,1,generic,-0.1382566782970342,1.093340914598455,1.5597900244448994
30,trial_0030,30200063,30200063,1,informed,0.06898302446719144,0.8178800556423688,1.0973015517705984
30,trial_0030,30200064,30200064,1,generic,-0.18774738837160687,0.7753221833837011,1.035564343541608
30,trial_0030,30200065,30200065,1,informed,-0.09843978586641083,0.9994784525572864,1.4607957821479562
30,trial_0030,30200066,30200066,1,generic,-0.13591941025470644,0.8438273192465646,1.118004433679695
30,trial_0030,30200067,30200067,1,informed,-0.3615851485605047,1.0906827182944379,1.6279703137908859
30,trial_0030,30200068,30200068,1,informed,0.5296458454447149,0.760340667446525,1.0926524637575745
30,trial_0030,30200069,30200069,1,informed,0.1016917374881313,0.8378521213842982,1.1452367266085264
30,trial_0030,30200070,30200070,1,generic,-0.35337274705984095,0.7930297212438921,1.0475229876348744
30,trial_0030,30200071,30200071,1,informed,0.46445681693140134,0.697261024509171,0.9400077322578575
30,trial_0030,30200072,30200072,1,generic,-0.011959036746194474,0.759284896686435,1.0186282823030477
30,trial_0030,30200073,30200073,1,informed,0.48785076525141446,0.7020740838455499,0.931410397637948
30,trial_0030,30200074,30200074,1,informed,0.3512342846460587,0.8009602363621542,1.2055719585300748
30,trial_0030,30200075,30200075,1,informed,0.35900683979907067,0.8440975663942879,1.1768372435608003
30,trial_0030,30200076,30200076,1,generic,0.20133758805386154,0.8472499952318943,1.1759972917571089
