template_id,family,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd
epit_0000,fe_alloy,69.705,18,10,,0,0,0,0.03,1,1,0.2,0.045,0.02,0,0,0,0,0,0,0,0,0,0,0
epit_0001,fe_alloy,69.705,18,10,,0,,0,0.03,1,1,0.2,0.045,0.02,0,0,0,0,0,0,0,0,0,0,0
epit_0002,fe_alloy,67.535,16,11,3,0,,0,0.02,1,1,0.2,0.045,0.2,0,0,0,0,0,0,0,0,0,0,0
epit_0003,fe_alloy,62.535,18,13,3,0,,0,0.02,1,2,0.2,0.045,0.2,0,0,0,0,0,0,0,0,0,0,0
epit_0004,fe_alloy,47.735,20,24.5,5,0,,0,0.02,,1.5,1,0.045,0.2,0,0,0,0,0,0,0,0,0,0,0
epit_0005,fe_alloy,84.61,13,,,0,,0,,1,1,,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0
epit_0006,fe_alloy,73.09,16,4.5,,0,,0.3,0.07,1,1,4,0.04,,0,0,0,0,0,0,0,0,0,0,0
epit_0007,fe_alloy,55.078,20,18,6,0,0.2,0,0.02,0.002,,0.7,,,0,0,0,0,0,0,0,0,0,0,0
epit_0008,fe_alloy,44.585,25,22,7,0,0.5,0,0.015,,0.5,0.4,,,0,0,0,0,0,0,0,0,0,0,0
epit_0009,fe_alloy,45.988,21,25,6,0,0.2,0,0.01,0.002,0.9,0.9,,,0,0,0,0,0,0,0,0,0,0,0
epit_0010,fe_alloy,31.48,27,32,6.5,0,,0,0.02,,2,1,,,0,0,0,0,0,0,0,0,0,0,0
epit_0011,fe_alloy,37.18,19,33,2,0,,2.5,0.02,0.4,0.4,3,,,0,0,2.5,0,0,0,0,0,0,0,0
epit_0012,fe_alloy,66.375,25,4,4,0,,0,0.025,,0.4,0.2,,,0,0,0,0,0,,0,0,0,0,0
epit_0013,fe_alloy,66.68,22,6,3,0,,0.3,0.02,,1.5,0.2,,,0,0,0.3,0,0,0,0,0,0,0,0
epit_0014,fe_alloy,69.819,18.92,8.51,0.35,0,0.036,0,0.057,0.46,1.59,0.21,0.035,0.013,0,0,0,0,0,0,0,0,0,0,0
epit_0015,fe_alloy,69.595,18.87,8.59,0.36,0,0.11,0,0.044,0.46,1.77,0.16,0.034,0.007,0,0,0,0,0,0,0,0,0,0,0
epit_0016,fe_alloy,69.601,18.8,8.63,0.38,0,0.16,0,0.043,0.41,1.78,0.16,0.028,0.008,0,0,0,0,0,0,0,0,0,0,0
epit_0017,fe_alloy,58.389,17.38,20.15,0.02,0,0.036,0,0.03,0.13,3.84,,0.014,0.011,0,0,0,0,0,0,0,0,0,0,0
epit_0018,fe_alloy,57.048,17.68,20.43,0.08,0,0.3,0,0.025,0.19,4.22,,0.017,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0019,fe_alloy,56.458,17.95,19.9,1.03,0,0.031,0,0.035,0.19,4.38,,0.016,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0020,fe_alloy,58.152,16.42,19.9,1.03,0,0.155,0,0.007,0.22,4.08,,0.02,0.016,0,0,0,0,0,0,0,0,0,0,0
epit_0021,fe_alloy,57.41,16.86,19.98,1.03,0,0.27,0,0.024,0.33,4.06,,0.02,0.016,0,0,0,0,0,0,0,0,0,0,0
epit_0022,fe_alloy,56.765,16.86,20.54,1.01,0,0.29,0,0.025,0.17,4.31,,0.018,0.012,0,0,0,0,0,0,0,0,0,0,0
epit_0023,fe_alloy,57.002,16.34,19.16,2.98,0,0.034,0,0.021,0.18,4.25,,0.019,0.014,0,0,0,0,0,0,0,0,0,0,0
epit_0024,fe_alloy,56.337,16.7,19.65,2.92,0,0.149,0,0.008,0.14,4.06,,0.017,0.019,0,0,0,0,0,0,0,0,0,0,0
epit_0025,fe_alloy,55.529,16.8,20.05,2.94,0,0.291,0,0.012,0.27,4.07,,0.02,0.018,0,0,0,0,0,0,0,0,0,0,0
epit_0026,fe_alloy,55.286,16.58,20.29,2.72,0,0.31,0,0.025,0.23,4.53,,0.019,0.01,0,0,0,0,0,0,0,0,0,0,0
epit_0027,fe_alloy,52.998,22.58,19.88,0.05,0,0.054,0,0.012,0.13,4.28,,0.007,0.009,0,0,0,0,0,0,0,0,0,0,0
epit_0028,fe_alloy,52.277,22.46,20.27,0.1,0,0.39,0,0.017,0.14,4.33,,0.008,0.008,0,0,0,0,0,0,0,0,0,0,0
epit_0029,fe_alloy,52.124,22.13,20.3,0.99,0,0.054,0,0.02,0.16,4.2,,0.015,0.007,0,0,0,0,0,0,0,0,0,0,0
epit_0030,fe_alloy,52.193,22.52,19.85,1.07,0,0.155,0,0.008,0.15,4.02,,0.016,0.018,0,0,0,0,0,0,0,0,0,0,0
epit_0031,fe_alloy,51.852,22.72,19.95,1.02,0,0.412,0,0.011,0.2,3.8,,0.02,0.015,0,0,0,0,0,0,0,0,0,0,0
epit_0032,fe_alloy,50.374,22.41,19.96,2.64,0,0.067,0,0.025,0.21,4.29,,0.013,0.011,0,0,0,0,0,0,0,0,0,0,0
epit_0033,fe_alloy,50.113,22.84,20.05,2.85,0,0.159,0,0.012,0.14,3.8,,0.017,0.019,0,0,0,0,0,0,0,0,0,0,0
epit_0034,fe_alloy,49.662,22.35,20.39,2.73,0,0.31,0,0.022,0.16,4.35,,0.015,0.011,0,0,0,0,0,0,0,0,0,0,0
epit_0035,fe_alloy,50.079,22.52,19.95,2.96,0,0.455,0,0.02,0.23,3.75,,0.019,0.017,0,0,0,0,0,0,0,0,0,0,0
epit_0036,fe_alloy,68.534,16.3,14.4,0,,,0,0.006,0.33,0.43,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0037,fe_alloy,66.475,16.3,14,0,2.49,,0,0.005,0.4,0.33,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0038,fe_alloy,63.874,16.5,14.1,0,4.81,,0,0.006,0.41,0.3,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0039,fe_alloy,60.344,16.17,14.1,0,8.66,,0,0.006,0.4,0.32,,,,0,0,0,0,0,0,0,0,0,0,0
