observed_at,step,total_steps,accuracy,ce,prior_time,train_time
2026-04-22T12:39:38.477121+00:00,0,9300,0.63,0.877,118.0,24.6
2026-04-22T12:39:38.477196+00:00,1,9300,0.63,0.877,118.0,24.6
2026-04-22T12:41:20.933940+00:00,1,9300,0.641,0.863,78.2,24.4
2026-04-22T12:41:20.934006+00:00,2,9300,0.641,0.863,78.2,24.4
2026-04-22T12:43:31.150521+00:00,2,9300,0.632,0.876,107.0,22.7
2026-04-22T12:43:31.150587+00:00,3,9300,0.632,0.876,107.0,22.7
2026-04-22T12:45:19.469032+00:00,3,9300,0.647,0.83,88.0,21.1
2026-04-22T12:45:19.469098+00:00,4,9300,0.647,0.83,88.0,21.1
2026-04-22T12:46:58.750866+00:00,4,9300,0.628,0.896,77.7,22.0
2026-04-22T12:46:58.750931+00:00,5,9300,0.628,0.896,77.7,22.0
